,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
bert-base_32x32_32_naive,286.3155165497138,0.5023090206846899,27.549291143611985,27.26796938448536,54.082242809996316,148.78315098431645,22.705973411092952,5.026401305685238,15421094912
bert-base_32x32_32_reweight,224.58868610615633,0.5170325843655333,28.480349754800603,29.673028965385594,55.616940770830425,80.56001517237449,23.56742596139713,5.375606673104422,3813745152
bert-base_32x32_32_elegant,180.27139196590502,0.4804474966866629,27.302873377897303,26.485593951478297,48.7110064564919,50.496825918859365,21.45776213431845,4.885887613101882,2464207360
bert-base_64x64_32_naive,325.34867403458577,0.5022798265729632,41.19136868690958,42.41032989657655,66.1936803739898,148.99565249073262,20.973521835949956,4.631061943209901,15410371584
bert-base_64x64_32_reweight,269.2181820772132,0.5176967504073162,40.14404209292665,40.41559355599539,62.578838698718016,100.5065343817886,19.901587038624044,4.480965283452248,3812983296
bert-base_64x64_32_elegant,234.12425420722184,0.5258467732643595,41.19271161604901,40.770744790836254,59.85878230114373,64.1962114450883,22.06768308367048,4.991949821005062,3133538816
bert-base_128x128_32_naive,412.37063553868506,0.5146848912141762,72.0233187383535,75.4989142320594,90.22043432508197,148.72706423000415,20.200889937731684,4.712827351628517,15455247360
bert-base_128x128_32_reweight,415.42508407514924,0.5865097045898438,71.22401558623022,73.72716251684695,85.40821318723718,159.36132109895044,20.10659052401173,4.3694170153870875,4388971520
bert-base_128x128_32_elegant,330.8398164048487,0.4849531212631537,71.93552717870595,74.29360613530996,84.09014018701048,76.0961011185938,19.357525572484853,4.119461896468182,4521062912
bert-base_256x256_32_naive,613.5770398743299,0.48460765760772084,150.03790174211775,151.27763699512093,138.42902378160127,148.90705566016996,19.709939859351334,4.336804759745696,15410519040
bert-base_256x256_32_reweight,758.5848448227863,0.5247009043790856,150.66552405454675,151.00685917601294,137.61379037584578,291.7932782854353,21.57263366543517,4.751728505504374,8928146432
bert-base_256x256_32_elegant,539.4050296472043,0.4967961992536272,150.3437781820492,151.99124326511304,134.51274134188282,76.7873086345439,20.43281039413141,4.401725165697993,8872062976
bert-large_32x32_16_naive,487.1765277823623,0.5055933582539461,48.66527537910306,49.89640810051743,98.14728279503025,242.33365788751718,38.34828065366161,8.492209473434759,25579569152
bert-large_32x32_16_reweight,402.9324249345429,0.4917675135086994,50.04826127266397,54.13265617526307,100.94404707149583,146.07738232126042,40.81148760659354,8.866592329375598,4689479680
bert-large_32x32_16_elegant,315.3618233544486,0.4849141957808514,48.50677081516811,49.11773545401437,82.14675159843601,86.79991759086141,38.89341500340676,8.575702200130541,6260851712
bert-large_64x64_16_naive,566.7821047257404,0.5059728817063935,74.60079387742645,76.94210081684346,121.26107605136171,243.36108139583044,39.923745758679445,9.266288913026148,25579581440
bert-large_64x64_16_reweight,502.620412378895,0.5115440913609096,71.70819506353261,76.90452069652324,117.93645790645054,186.47619412869824,39.03213325811892,8.583192922631088,4832279552
bert-large_64x64_16_elegant,404.6399325740581,0.4907530181261958,74.71572379676662,70.65858646314972,97.32728068682613,110.73771161449199,41.149375390033335,8.795069188487773,7173125120
bert-large_128x128_16_naive,719.2067224152235,0.5284061237257354,134.13380360116764,131.18975989672603,160.97569222352942,242.7129769811825,39.84689955808678,8.932067423450704,25580376064
bert-large_128x128_16_reweight,744.6245125361851,0.52734053864771,130.76247731033638,128.8873541111849,154.24448373366374,278.7268356401093,41.23732508445273,8.961940298275072,7182277632
bert-large_128x128_16_elegant,589.3039897996553,0.479851450238909,133.56630899468246,128.65688362900093,142.40200854320915,135.02322991040288,39.66249008567966,8.759201789388852,8996901888
bert-large_256x256_16_naive,1052.4599065586012,0.486043034767618,252.75718922517737,255.2151193424147,246.52391307208003,244.72092122447734,42.56842817578997,9.292225448452697,25580425216
bert-large_256x256_16_reweight,1291.5153917001219,0.46383847995680205,249.32511728637073,254.47501211750264,243.6844402430009,494.05275072370256,39.568755091453085,8.46316133226667,13238918144
bert-large_256x256_16_elegant,917.9645703763377,0.5044742506377551,252.41595628310222,253.02320353838863,227.94885129344706,135.25936007986263,39.55676847574662,8.49132878439767,13139126784
gnmt_32x32_16_naive,360.6225714391592,0.46764831153713926,67.51132741266368,58.96795282558519,36.44724524751001,184.31399793040995,8.228508793577856,4.5513425554547995,23198496768
gnmt_32x32_16_reweight,270.46348124134295,0.49876923463782485,66.5177836710093,56.146390584050394,35.81441665182308,98.71003335835982,8.047643972902883,4.532972160650759,4816578560
gnmt_32x32_16_elegant,230.9257935504524,0.46009676797049387,66.13081328722896,76.01316851012561,34.094231138424,41.54173784839864,7.97674120688925,4.5036004514110335,4888146944
gnmt_64x64_16_naive,500.7146450938011,0.46982570570342397,116.1834293482255,136.54673099517822,49.247576265918966,185.52381408457853,8.068503165731626,4.52747393627556,23265139200
gnmt_64x64_16_reweight,458.9990012499751,0.497737709356814,118.53020045222068,110.42039248408103,48.4845054392912,168.38843725165543,7.966936851034359,4.513035015184052,5448305152
gnmt_64x64_16_elegant,347.2373899148435,0.4640963612770548,116.44544163528754,112.30858977960081,47.448213188015686,57.97596505223488,7.90758278905129,4.5034520480097555,5461870080
gnmt_128x128_16_naive,718.1904096992648,0.48900623710788027,231.9545843163315,211.68369906289237,77.70891822114282,183.56616156441825,8.124813741567184,4.543435816862146,23394082304
gnmt_128x128_16_reweight,929.5545646122524,0.494083579705686,213.18555608087655,267.6096181480252,78.00133617556826,357.19060167974357,8.28347400743134,4.518591627782705,7115099648
gnmt_128x128_16_elegant,619.7354355636908,0.4823402482636121,228.5862601533228,227.11359967990796,77.36216961607641,73.48158231073496,8.000415198656977,4.504549260042151,7032705536
gnmt_256x256_16_naive,1260.3013101889162,0.4835274754738321,473.10386628520735,450.3172830659516,139.50413830426274,184.26083302011295,7.958217542998645,4.548861055958028,24650817536
gnmt_256x256_16_reweight,1671.2560556372819,0.5179716616260762,460.39472064193416,454.76263883162517,139.15108904546622,603.7419742467453,7.9531596631419905,4.527563951453384,17575156224
gnmt_256x256_16_elegant,1121.2009045542502,0.5048464755622708,446.7533242945768,447.8206902134175,139.81743880680628,73.42850739615304,8.157744699594925,4.513565374880421,18284206592
deepspeech_32x32_16_naive,348.60027322963793,0.41977240114795916,26.672596834143814,21.728367221598724,43.08794225965227,245.20590110700957,7.2670883061934495,4.113197326660156,20664493056
deepspeech_32x32_16_reweight,163.2479477901848,0.4624736552335778,28.87033686345937,21.676238702268016,42.751922899362995,57.66501718637895,7.455996104649135,4.198660655897491,10583416320
deepspeech_32x32_16_elegant,139.89113058362688,0.45883412263831314,26.548935442554708,21.701002607540207,43.752847593657826,35.525554929460796,7.474595186661701,4.205947019615952,10583172608
deepspeech_64x64_16_naive,396.72032181097535,0.45902875004982463,48.828485060711294,39.36965854800477,52.36535169640366,244.22780591614392,7.251114261393645,4.116649530371841,20665933824
