,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_naive,269.36590184970777,1.0341357211677396,9.129816172074298,17.82886349425024,174.7485082976672,58.27786484543158,6.572258715726892,1.5606612575297454,24302440448
resnet18_32x32_512_reweight,167.43475320387859,1.017998675910794,8.970489307325714,16.725953744382274,76.59347203313088,55.127720443569885,7.033211844308036,1.7002699326495736,5181025792
resnet18_32x32_512_elegant,234.28734711238317,0.998971413592903,8.565299364985252,17.439448103612783,100.76930250440326,97.73890487515196,6.422636460284798,1.5209767283225546,656398848
resnet18_224x224_256_naive,551.177827679381,14.676840937867457,62.26961223446593,115.56416628312091,319.33899315036075,30.724527884502802,6.808636139850227,1.5511342457362585,18397794304
resnet18_224x224_256_reweight,664.0209519133276,14.497452852677325,62.672561528731364,116.01026934020373,267.07677695215966,195.20699977874756,6.635678057767907,1.6147725436152245,11018774528
resnet18_224x224_256_elegant,461.1698778308168,14.529218479078644,61.9742894659237,116.34303598987813,187.65567855445707,72.19863268793846,6.378842859852071,1.5227235093408702,9703534080
resnet50_32x32_256_naive,379.82180897070435,0.728196027327557,21.66895963707749,34.2791883312926,238.3342154172002,63.75063438804782,16.650822697853556,3.8668136207424864,26571335680
resnet50_32x32_256_reweight,289.2357792173113,0.7365844687637018,21.48961777589759,34.04871541626599,122.61494081847522,88.88980563806028,16.809108305950556,3.8132472914092395,3091658240
resnet50_32x32_256_elegant,310.79008871195265,0.7072030281534001,20.96676339908522,32.57884298052107,126.26078477197764,110.15332582045575,15.968130559337382,3.4099476678030833,1319324672
resnet50_224x224_128_naive,713.502567641589,7.565607829969757,117.76330033127142,163.99737523526562,368.9180174652411,34.21005180903843,16.684291314105597,3.832359703219667,21949949952
resnet50_224x224_128_reweight,889.3544552277546,7.708678440171845,117.42967245530109,161.83747564043318,299.4320076339099,281.5926318265954,16.64346578169842,3.9339260179169324,13777132032
resnet50_224x224_128_elegant,629.0165283242051,7.587826981836436,117.33888606635891,161.2485257946715,244.11902898671676,77.41655703953334,17.09375576097138,3.5538259817629445,17700690432
resnet152_32x32_128_naive,724.9991942425163,0.5624148310447226,63.934535396342376,71.20118335801727,442.68338047728247,85.11765635743433,49.33764739912383,10.549129271993833,31581504000
resnet152_32x32_128_reweight,614.1341608397814,0.5602009442387795,59.3346576301419,64.62395677761155,267.3611324660632,162.39626553593848,47.65704699925014,10.342101661526428,2181867008
resnet152_32x32_128_elegant,569.3659076885301,0.5580551770268655,59.00307577483508,71.12423254519092,226.2966375740207,154.83579832193803,46.07862355757733,9.892560997787786,2202689024
resnet152_224x224_64_naive,990.4408041311771,3.9696936704674544,153.4089944800552,199.23095557154443,491.75996196513273,78.82052051777742,50.49825687797702,11.204332721476652,21190412288
resnet152_224x224_64_reweight,1182.8376541332323,3.9710828236171176,153.13225376362703,197.18915832285978,388.17911975237786,376.98329224878427,50.32750295133007,10.8714687580965,13180208640
resnet152_224x224_64_elegant,899.3687848655545,3.9546222102885342,152.35792617408597,199.0512025599577,350.97666146803874,134.1471166805345,46.88260263326217,10.446952313792949,18481240576
bert-base_32x32_32_naive,266.1638235559269,0.4806664525246134,27.818482749316157,30.290949101350744,143.1032078606742,36.525315167952556,22.591515463225697,4.821354029129963,17629996544
bert-base_32x32_32_reweight,218.56838829663334,0.4753020344948282,26.774277492445343,29.56807126804274,55.31877644208013,80.06873666023722,21.097161331955267,4.478809784869759,3814531584
bert-base_32x32_32_elegant,261.4704467812363,0.4322188241141183,25.850103825938945,26.552621199160207,66.37092006449797,117.6307929681272,19.968602122092733,4.157625899022939,2891547648
bert-base_64x64_32_naive,300.0757815886517,0.5033721729200713,40.779612502273245,42.753628322056365,152.7440766898953,36.56441338208257,21.754894937787736,4.448652267456055,17627084288
bert-base_64x64_32_reweight,277.23873148159106,0.46805216341602557,40.531199805590575,41.71584333692278,64.41798988653689,104.69198470212976,20.379358408402425,4.252307269037987,3812983296
bert-base_64x64_32_elegant,325.68117793725463,0.453469704608528,41.03932088735152,42.56231200938322,82.7495864946015,132.00045311207674,21.53621401105608,4.758579390389579,3561874432
bert-base_128x128_32_naive,383.5785388946533,0.4538711236447704,71.42133372170585,75.70124888906673,175.87326497447734,36.49649084830771,18.84848487620451,4.251635804468272,17653925376
bert-base_128x128_32_reweight,417.9798291654003,0.5023941701772262,71.04963672404386,74.030944279262,86.47655467597805,159.6061088600937,20.957681597495565,4.699889494448292,4388971520
bert-base_128x128_32_elegant,440.14155134862784,0.47966168851268537,71.56355770266786,75.51399785645154,106.87230921764763,158.86246897249805,21.678851575267558,4.588591809175452,4964131840
bert-base_256x256_32_naive,592.0390863807834,0.4698889596121652,149.72796002212837,152.16197529617622,227.02764005077128,36.547264274285766,21.198995259343363,4.371200289045062,17644586496
bert-base_256x256_32_reweight,759.1526289375461,0.5116438379093092,149.07363969452527,151.0544236825437,137.81443664005823,292.34644588159057,23.036976249850525,4.68502969157939,8928146432
bert-base_256x256_32_elegant,583.9785969987207,0.487162142383809,150.0265087400164,152.09985022642175,154.0004869577836,103.05802989492611,19.568557641944107,4.246086490397551,8872161792
bert-large_32x32_16_naive,455.4419639159222,0.46753883361816406,50.55050947228256,55.47160275128423,237.18613507796306,61.92346008456483,40.47846307559889,8.33878468494026,26005618176
bert-large_32x32_16_reweight,397.7328855164197,0.4648991993495396,49.85289914267404,53.846471163691305,99.63045558150934,144.96080486141906,39.03240816933768,8.380958012172155,4689479680
bert-large_32x32_16_elegant,460.85357179447095,0.45500726115946866,50.185091641484476,49.11356556172274,109.27005423331747,203.03030004306714,39.55429914046307,8.404546854447345,7587644928
bert-large_64x64_16_naive,528.7578495181336,0.48280735405123965,75.14885250402956,77.02102223221137,256.1884096690587,64.08511619178616,44.89700648249412,9.858635007118693,26007170560
bert-large_64x64_16_reweight,488.69385038103377,0.4926919937133789,71.56500767688362,72.25094766032939,113.6261273403557,177.24786972513004,43.306058766890544,8.871893493496643,4832279552
bert-large_64x64_16_elegant,551.3053475594033,0.4507376223194356,75.2488155754245,71.89141244304423,125.43445090858303,226.50641106586068,41.63332374728456,9.343191068999621,8499918336
bert-large_128x128_16_naive,658.0812103894292,0.4955067926523637,132.88513251713343,129.61071608017903,286.17446763174877,59.661013739449636,39.49539515436912,8.96533897944859,26010406400
bert-large_128x128_16_reweight,762.5569883657962,0.4764989930756238,132.84764241199105,130.79541556689205,159.468945191831,287.5414454207128,41.15168415770239,8.667208710495306,7182277632
bert-large_128x128_16_elegant,751.7196134645112,0.479167821455975,133.9131569375797,129.2755311849166,167.83879262573865,270.89724811242553,39.853497427337025,8.596524900319626,10323695104
bert-large_256x256_16_naive,1004.2754144084697,0.49264820254578884,252.09798374954536,255.95554283687048,381.4020327159337,61.895844887714,42.34588146209717,9.052232820160535,26018844160
bert-large_256x256_16_reweight,1301.1843160707124,0.4901058819829201,251.89086125821484,254.75786900033756,244.82241698673792,495.2526919695796,43.05508185406121,9.379202005814532,13238918144
bert-large_256x256_16_elegant,983.8652635107235,0.49356781706518055,251.55899719316133,253.73581234289676,253.4097914598426,177.92228507995605,37.686279841831755,8.212719644818987,13729756160
gnmt_32x32_16_naive,325.18104144505094,0.4700203331149354,62.749325012674134,71.5467662227397,136.02108371501066,42.897134411091706,7.301659000163176,4.0384628334823915,19990737408
gnmt_32x32_16_reweight,269.40264750500114,0.4886875347215302,62.888809612819124,57.30201516832624,36.237578002773986,101.05508687544842,7.209398308578803,4.0261258884352085,4552730112
gnmt_32x32_16_elegant,298.6186085915079,0.44638040114422234,62.23638690247827,59.35264363580821,39.567633336904095,125.68793964385986,7.121090986290756,4.018289702279227,5335294976
gnmt_64x64_16_naive,462.39645627080176,0.48258109968535756,121.3759962393313,137.44465185671436,148.68469627536072,42.8446069055674,7.3608719572729,4.047970382534728,20060378112
gnmt_64x64_16_reweight,461.4581039973668,0.465621753614776,118.11875567144277,112.275344984872,48.62505562451421,170.4653112255797,7.277048363977549,4.016445607555156,5184849920
gnmt_64x64_16_elegant,464.3267733710153,0.4613594133026746,116.64386671416614,139.07359084304497,53.890967116063955,142.89563776522266,7.132931631438586,4.015976068924885,5908399616
gnmt_128x128_16_naive,718.5699599129813,0.4626269243201431,217.7896840231759,268.69765593081104,177.57943941622364,42.84369458957594,7.000460916635942,4.035263645405672,20193679360
gnmt_128x128_16_reweight,863.0746359727821,0.5061845390164122,238.84086462916162,223.56130395616805,77.21641112347038,311.49440152304516,7.231556639379384,4.0227369386322644,6850513920
gnmt_128x128_16_elegant,699.9123120794491,0.4830409069450534,216.98941016683773,213.71502292399504,82.13779247050383,175.24220791641548,7.121475375428492,4.026634352547782,7448816640
gnmt_256x256_16_naive,1210.8881181600143,0.4992363404254524,478.2825708389282,438.5908817758366,239.16136975191077,42.90510926927839,7.257558861557318,4.061346151390854,24387624960
