,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
bert-base_32x32_32_naive_no,286.90472670963834,0.4865539317228356,26.904901679681274,29.602508155667053,56.17107907120062,149.0469489778791,19.94290643808793,4.241186745312749,15421094912
bert-base_32x32_32_reweight_no,241.32083873359525,0.49263117264728157,27.502546505052216,29.602440036073023,55.20304855035276,100.77245138129409,22.11261525446055,4.839887424391144,3814531584
bert-base_32x32_32_elegant_no,171.8094470549603,0.45408521379743305,25.911756924220494,26.165385635531678,45.991283728151906,48.56247409509153,19.852689334324428,4.4530849067532285,2461061120
bert-base_32x32_32_elegant_int8,214.95686501872783,0.47666442637540857,26.703092516685018,27.054575024818888,85.36469724226971,49.960059321656516,20.44159782176115,4.431656428745815,2049391104
bert-base_64x64_32_naive_no,318.22090732808016,0.4838656406013333,41.10451133883729,40.56115782990747,62.702867449546346,148.735591343471,19.848867338530873,4.404909756718849,15410371584
bert-base_64x64_32_reweight_no,311.5688902991159,0.5098994897336376,41.52753888344278,40.7484769821167,63.40340935454077,136.7152029154252,22.788972270732025,5.219863385570292,3812983296
bert-base_64x64_32_elegant_no,227.07479097405258,0.47184739794049946,40.93686171940395,40.23540749841807,57.30168722113785,62.17114582840277,20.80830749200315,4.728757605260732,3131387904
bert-base_64x64_32_elegant_int8,277.6542026169446,0.4988957424553073,41.073845357311015,41.21382625735536,105.78350065192397,63.61783492808439,20.426436346404408,4.528228117495167,2438561280
bert-base_128x128_32_naive_no,414.22413806526026,0.5270412990025112,72.38041381446682,75.85815994106993,90.64124068435358,148.89863559177942,20.78023492073526,4.658789050822356,15455247360
bert-base_128x128_32_reweight_no,495.94254396399674,0.555459333925831,72.25948450516681,75.30404596912618,89.67848699920032,231.6346752400301,21.21037123154621,4.513042313711984,4388971520
bert-base_128x128_32_elegant_no,332.31668569603744,0.4995331472280074,71.96470182769153,74.4814970055405,81.98100232104866,78.05252217273323,20.486651634683415,4.405036264536332,4521062400
bert-base_128x128_32_elegant_int8,420.28979622587866,0.5023576775375678,72.66668884121641,75.73456666907485,162.4141350960245,80.28355238388995,22.670626640319824,5.4195535426237145,4317003264
bert-base_256x256_32_naive_no,620.9014337890002,0.6735422173324896,150.99728107452393,152.21797446815336,141.0553941921312,149.01595212975326,21.654557208625636,4.867227710023219,15410519040
bert-base_256x256_32_reweight_no,908.2087643292485,0.5029610225132534,149.7103146144322,151.8823394970018,139.32550683313485,440.3739291794446,21.053864031421895,4.584611678610043,8928146432
bert-base_256x256_32_elegant_no,537.9644924280594,0.4896022835556342,150.54583062930982,151.97099958147322,130.78217342921667,78.29009478432792,20.79051124806307,4.638988144543706,8872062976
bert-base_256x256_32_elegant_int8,687.3222419193813,0.5347217832292829,150.27109700806287,151.609299134235,280.558959474369,78.48975086212158,20.76006908806003,4.567087913046078,9079733760
bert-base_512x512_32_naive_no,1089.4417324844671,0.5017737953030333,323.76830918448314,348.1907503945487,241.74952020450513,149.73279164761914,20.301067099279287,4.70124458780094,22657553920
bert-base_512x512_32_reweight_no,1841.862425512197,0.5645630310992805,323.41729134929426,347.4192424696319,239.13307822480493,904.9130897132718,21.23657294682094,4.525985036577497,22120162304
bert-base_512x512_32_elegant_no,1012.7608167881868,0.5449251252777723,323.9978454550918,347.8535340756786,235.06294976448527,78.63506830955038,21.335465567452566,4.864225582200653,22656610304
bert-base_512x512_32_elegant_int8,1299.5692248247108,0.48841748918805805,322.75737305076757,346.72558550931967,526.9885109687339,78.19249970572335,19.636657773231974,4.267252221399424,22732389888
bert-large_32x32_16_naive_no,482.8728388766853,0.47109564956353633,48.01141729160231,48.81990929039157,96.84802561390157,242.35056127820695,37.50276565551758,8.130202488023407,25579569152
bert-large_32x32_16_reweight_no,411.6799782733528,0.4911690342183016,50.453667737999744,47.90514585923175,93.94665396943384,169.4215706416539,39.70466827859684,8.594690536966128,4689479680
bert-large_32x32_16_elegant_no,311.80416807836417,0.46052251543317524,48.33671998004524,49.710750579833984,81.98690667444346,85.20144441176434,37.525335136724976,7.757809697365274,6260850688
bert-large_32x32_16_elegant_int8,416.63203190784066,0.49012291188142737,50.76259252976398,54.32298961950808,173.28994100921008,88.30866362124073,39.80588183111074,8.602971933325943,5680073216
bert-large_64x64_16_naive_no,565.3070892606463,0.4930204274703045,74.94587071087895,76.41299403443628,120.4280780286205,242.72260130668172,40.04249280812789,9.373964095602231,25579581440
bert-large_64x64_16_reweight_no,565.3899713438384,0.4796811512538365,71.85196146673086,77.25549717338718,118.07044914790562,249.93372693353768,37.98740737292231,8.336575663819605,4832279552
bert-large_64x64_16_elegant_no,409.3581924633104,0.48871672883325695,75.30126279714156,72.80345838897082,99.6921411825686,109.07006787280648,42.118152793572875,9.0925255600287,7172354048
bert-large_64x64_16_elegant_int8,493.2946088362713,0.4813987381604253,74.48441155102788,72.15171444172762,184.34166094721581,110.63310920948885,40.681396211896626,9.447248614564234,6012205568
