,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_16_naive_no_hooks_False,97.6714293162028,0.3756549623277452,11.43418418036567,10.150525305006239,40.470944510565865,24.15164311726888,8.562604586283365,2.217398749457465,895773696
resnet18_32x32_32_naive_no_hooks_False,104.26737202538385,0.37644969092475045,10.400745603773329,13.22842968834771,47.93879720899794,22.806578212314182,7.372723685370551,1.8368429607815213,1644007424
resnet18_32x32_64_naive_no_hooks_False,104.39736313290067,0.49649344550238717,10.650356610616049,11.59297095404731,49.15334118737115,22.92323112487793,7.333781984117296,1.9486215379503038,3141629952
resnet18_32x32_128_naive_no_hooks_False,129.0224658118354,0.761164559258355,11.323399013943142,14.664742681715223,64.52967060936822,27.92337205674913,7.5368086496988935,1.9725296232435439,6135450112
resnet18_32x32_256_naive_no_hooks_False,177.2567696041531,0.8505317899915907,12.65035735236274,16.415052943759495,93.43278408050537,44.00315549638536,7.697820663452148,1.9038253360324435,12166369280
resnet18_32x32_512_naive_no_hooks_False,272.3542186948988,1.417716344197591,12.82150215572781,21.981848610772026,153.3745527267456,73.16795984903972,7.3293579949273004,1.970529556274414,24234938368
resnet18_32x32_16_reweight_no_hooks_False,93.848983446757,0.45561790466308594,10.478165414598253,9.587883949279785,39.043029149373375,18.325911627875435,7.206532690260145,1.760191387600369,255185408
resnet18_32x32_32_reweight_no_hooks_False,102.16878520117865,0.44006771511501735,10.000308354695639,11.683397822909885,42.555530865987144,20.914064513312447,7.145868407355414,1.7320315043131511,414029824
resnet18_32x32_64_reweight_no_hooks_False,123.58064121670193,0.5966292487250434,10.979334513346354,12.067225244310167,52.2987445195516,26.98838710784912,8.194459809197319,1.9718143675062392,732046336
resnet18_32x32_128_reweight_no_hooks_False,142.94536908467612,0.6739033593071831,10.467502805921766,14.576805962456596,65.2235746383667,28.990334934658474,7.680826716952854,1.807901594373915,1370176512
resnet18_32x32_256_reweight_no_hooks_False,189.76891040802002,0.903924306233724,12.220104535420736,15.968534681532118,92.42101510365804,38.60167662302653,7.620400852627224,1.9167794121636286,2641274880
resnet18_32x32_512_reweight_no_hooks_False,294.0899001227485,1.375118891398112,12.24166817135281,21.07173866695828,154.92590268452963,61.48097250196669,7.077601220872667,1.7691320843166776,5183422464
resnet18_32x32_1024_reweight_no_hooks_False,526.6980859968397,2.2363000445895724,15.119247966342503,31.05815251668294,274.68236287434894,132.68178039126926,7.142411337958442,1.8500619464450412,10268110848
resnet18_32x32_2048_reweight_no_hooks_False,1034.9499649471707,3.765755229526096,23.183345794677734,51.49226718478732,519.5665889316135,310.17729971143933,7.4757734934488935,1.8871227900187175,20434259968
resnet18_32x32_16_elegant_no_hooks_False,53.24395497639974,0.32953421274820965,9.705861409505209,9.160280227661133,24.79977222283681,5.967561112509833,1.357432269387775,1.6016562779744465,917870592
resnet18_32x32_32_elegant_no_hooks_False,74.30562708112929,0.4456970426771376,12.130843268500435,13.213475545247396,33.22858169343736,10.731859313117134,1.9291117174757852,2.133488655090332,930983424
resnet18_32x32_64_elegant_no_hooks_False,77.4917205174764,0.43748484717475045,10.250873035854763,10.505318641662598,34.88295475641886,17.870587242974175,1.5161374418271913,1.6534990734524198,954796032
