,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
resnet18_224x224_256_naive_no_hooks,18553276928,46758048,5422163976,1644167168,46758048,11970129824,0
resnet18_224x224_256_reweight_no_hooks,10773510656,46758048,5422163976,1644167168,46758048,2415933440,0
resnet18_224x224_256_elegant_no_hooks,11549076480,46758048,5422163976,3366428672,46758048,10856448,3712921584
resnet50_224x224_128_naive_no_hooks,21646448128,102228128,10868478984,822083584,102228128,13085287840,0
resnet50_224x224_128_reweight_no_hooks,13561377792,102228128,10868478984,822083584,102228128,2097664000,0
resnet50_224x224_128_elegant_no_hooks,18768208896,102228128,10868478984,6101913600,102228128,27710464,2231789412
resnet152_224x224_64_naive_no_hooks,20831798784,240771232,11291585032,411041792,240771232,15409482912,0
resnet152_224x224_64_reweight_no_hooks,12941360128,240771232,11291585032,411041792,240771232,1048832000,0
resnet152_224x224_64_elegant_no_hooks,21559961088,240771232,11291585032,5979629568,240771232,39021056,4146192564
bert-base_256x256_64_naive_no_hooks,28765284864,433250316,10318783752,402653184,431671308,27627015180,0
bert-base_256x256_64_reweight_no_hooks,13221768704,433250316,10318783752,402653184,431671308,5700896512,0
bert-base_256x256_64_elegant_no_hooks,13274125312,433250316,10318783752,5637341952,431671308,31262208,0
bert-large_256x256_16_naive_no_hooks,24344235520,1334329356,6862119240,134217728,1332224012,21315609356,0
bert-large_256x256_16_reweight_no_hooks,9691906560,1334329356,6862119240,134217728,1332224012,1900306880,0
bert-large_256x256_16_elegant_no_hooks,11052875776,1334329356,6862119240,3691053248,1332224012,20644224,0
gnmt_512x512_8_naive_no_hooks,32515259392,1106658304,11288989768,1048576000,1106658304,8853396352,0
gnmt_512x512_8_reweight_no_hooks,30052604416,1106658304,11288989768,1048576000,1106658304,2098176000,0
gnmt_512x512_8_elegant_no_hooks,30019845120,1106658304,11288989768,1858076672,1106658304,3252224,0
deepspeech_2048x2048_8_naive_no_hooks,19479696384,999271552,3718791816,335544320,999271552,8824995840,0
deepspeech_2048x2048_8_reweight_no_hooks,11493197312,999271552,3718791816,335544320,999271552,2516910688,0
deepspeech_2048x2048_8_elegant_no_hooks,14059639808,999271552,3718791816,2014216192,999271552,12133376,0
gnmt_512x512_8_naive_no_hooks,32515259392,1106658304,11288989768,1048576000,1106658304,8853396352,0
gnmt_512x512_8_reweight_no_hooks,30052604416,1106658304,11288989768,1048576000,1106658304,2098176000,0
gnmt_512x512_8_elegant_no_hooks,30019845120,1106658304,11288989768,1858076672,1106658304,3252224,0
deepspeech_4096x4096_8_naive_no_hooks,29957116928,999271552,7436026504,671088640,999271552,8824995840,0
