,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
gnmt_64x64_4_naive_no_hooks,7209324544,1106658304,236237096,65536000,1106658304,4426762176,0
gnmt_64x64_4_reweight_no_hooks,2659972096,1106658304,236237096,65536000,1106658304,1049088000,0
gnmt_64x64_4_elegant_no_hooks,4005832704,1106658304,236237096,115671040,1106658304,1626112,0
deepspeech_512x512_4_naive_no_hooks,6314259968,999271552,465432904,41943040,999271552,4412497920,0
deepspeech_512x512_4_reweight_no_hooks,2378320384,999271552,465432904,41943040,999271552,1258455344,0
deepspeech_512x512_4_elegant_no_hooks,3804537344,999271552,465432904,251777024,999271552,6066688,0
resnet18_32x32_128_naive_no_hooks,6101187072,46758048,56087560,16777216,46758048,5985066912,0
resnet18_32x32_128_reweight_no_hooks,1319535104,46758048,56087560,16777216,46758048,1207966720,0
resnet18_32x32_128_elegant_no_hooks,1100965888,46758048,56087560,34852864,46758048,5428224,143303192

resnet18_32x32_128_naive_no_hooks,6101187072,46758048,56087560,16777216,46758048,5985066912,0
resnet18_32x32_128_reweight_no_hooks,1319535104,46758048,56087560,16777216,46758048,1207966720,0
resnet18_32x32_128_elegant_no_hooks,1102452224,46758048,56087560,34852864,46758048,5428224,143338568
resnet50_32x32_64_naive_no_hooks,6771392512,102228128,111667720,8388608,102228128,6542645920,0
resnet50_32x32_64_reweight_no_hooks,824318976,102228128,111667720,8388608,102228128,1048832000,0
resnet50_32x32_64_elegant_no_hooks,1083046400,102228128,111667720,62515200,102228128,13855232,229196452
resnet152_32x32_32_naive_no_hooks,8210061312,240771232,115602696,4194304,240771232,7704743456,0
resnet152_32x32_32_reweight_no_hooks,660914176,240771232,115602696,4194304,240771232,524416000,0
resnet152_32x32_32_elegant_no_hooks,1644853248,240771232,115602696,61142016,240771232,19510528,570861140
bert-base_32x32_16_naive_no_hooks,8040289792,433250316,256495944,12582912,431671308,6906753804,0
bert-base_32x32_16_reweight_no_hooks,1953244672,433250316,256495944,12582912,431671308,1425224128,0
bert-base_32x32_16_elegant_no_hooks,1740374528,433250316,256495944,176210112,431671308,7815552,0
bert-large_32x32_4_naive_no_hooks,8356600320,1334329356,170437720,4194304,1332224012,5328902348,0
bert-large_32x32_4_reweight_no_hooks,2907383296,1334329356,170437720,4194304,1332224012,475076720,0
bert-large_32x32_4_elegant_no_hooks,4341785600,1334329356,170437720,115359792,1332224012,5161056,0

resnet18_32x32_512_naive_no_hooks,24183441920,46758048,224350216,67108864,46758048,23940255648,0
resnet18_32x32_512_reweight_no_hooks,5131987456,46758048,224350216,67108864,46758048,4831866880,0
resnet18_32x32_512_elegant_no_hooks,1660340736,46758048,224350216,139411456,46758048,21712896,394147120
resnet50_32x32_256_naive_no_hooks,26426816000,102228128,446670856,33554432,102228128,26170571680,0
resnet50_32x32_256_reweight_no_hooks,2976870912,102228128,446670856,33554432,102228128,4195328000,0
resnet50_32x32_256_elegant_no_hooks,1982341632,102228128,446670856,250060800,102228128,55420928,515012348
resnet152_32x32_128_naive_no_hooks,31327359488,240771232,462410760,16777216,240771232,30818961824,0
resnet152_32x32_128_reweight_no_hooks,1919218688,240771232,462410760,16777216,240771232,2097664000,0
resnet152_32x32_128_elegant_no_hooks,2870396928,240771232,462410760,244568064,240771232,78042112,1151645692
bert-base_32x32_64_naive_no_hooks,28761008640,433250316,1025959176,50331648,431671308,27627015180,0
bert-base_32x32_64_reweight_no_hooks,6237763584,433250316,1025959176,50331648,431671308,5700896512,0
bert-base_32x32_64_elegant_no_hooks,2749508608,433250316,1025959176,704840448,431671308,31262208,0
bert-large_32x32_16_naive_no_hooks,24344149504,1334329356,681726280,16777216,1332224012,21315609356,0
bert-large_32x32_16_reweight_no_hooks,3360416768,1334329356,681726280,16777216,1332224012,1900306880,0
bert-large_32x32_16_elegant_no_hooks,5018804224,1334329356,681726280,461439168,1332224012,20644224,0
gnmt_64x64_16_naive_no_hooks,20591235584,1106658304,944948360,262144000,1106658304,17706664704,0
gnmt_64x64_16_reweight_no_hooks,4413199360,1106658304,944948360,262144000,1106658304,4196352000,0
gnmt_64x64_16_elegant_no_hooks,5206934528,1106658304,944948360,462684160,1106658304,6504448,0
deepspeech_512x512_16_naive_no_hooks,22217305088,999271552,1861731592,167772160,999271552,17649991680,0
deepspeech_512x512_16_reweight_no_hooks,6406577152,999271552,1861731592,167772160,999271552,5033821376,0
deepspeech_512x512_16_elegant_no_hooks,7534308352,999271552,1861731592,1007108096,999271552,24266752,0
