,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
resnet18_32x32_512_naive_no,24250141696,46758048,223301640,67108864,46758048,23940255648,0
resnet18_32x32_512_reweight_no,5130889728,46758048,223301640,67108864,46758048,4831866880,0
resnet18_32x32_512_elegant_no,1485067264,46758048,223301640,139411456,46758048,21712896,419158228
resnet50_32x32_256_naive_no,26459993600,102228128,444573704,33554432,102228128,26170571680,0
resnet50_32x32_256_reweight_no,2976346624,102228128,444573704,33554432,102228128,4195328000,0
resnet50_32x32_256_elegant_no,1408401920,102228128,444573704,250060800,102228128,55420928,302634096
resnet152_32x32_128_naive_no,31323001344,240771232,461362184,16777216,240771232,30818961824,0
resnet152_32x32_128_reweight_no,1918956544,240771232,461362184,16777216,240771232,2097664000,0
resnet152_32x32_128_elegant_no,2206832640,240771232,461362184,244568064,240771232,78042112,991606976
bert-base_32x32_32_naive_no,15077974528,433250316,512983688,25165824,431671308,13813507596,0
bert-base_32x32_32_reweight_no,3376567808,433250316,512983688,25165824,431671308,2850448256,0
bert-base_32x32_32_elegant_no,2025568768,433250316,512983688,352420224,431671308,15631104,0
bert-large_32x32_16_naive_no,24366882304,1334329356,681726280,16777216,1332224012,21315609356,0
bert-large_32x32_16_reweight_no,3356484608,1334329356,681726280,16777216,1332224012,1900306880,0
bert-large_32x32_16_elegant_no,4967181824,1334329356,681726280,461439168,1332224012,20644224,0
deepspeech_32x32_16_naive_no,19665219072,999271552,119277832,5308416,999271552,15988644160,0
deepspeech_32x32_16_reweight_no,9570100736,999271552,119277832,5308416,999271552,3356099968,0
deepspeech_32x32_16_elegant_no,9573078016,999271552,119277832,57766912,999271552,24266752,0
gnmt_32x32_16_naive_no,22353982464,1106658304,407347848,131072000,1106658304,17706664704,0
gnmt_32x32_16_reweight_no,3690574336,1106658304,407347848,131072000,1106658304,4196352000,0
gnmt_32x32_16_elegant_no,4049019392,1106658304,407347848,218693632,1106658304,6504448,0
