,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
resnet18_32x32_512_naive_no,24250141696,46758048,223301640,67108864,46758048,23996088320,0
resnet18_32x32_512_reweight_no,9953290752,46758048,223301640,67108864,46758048,9663703040,0
resnet18_32x32_1024_reweight_no,19858721280,46758048,446603272,134217728,46758048,19327406080,0
resnet18_32x32_512_elegant_no,1484919296,46758048,223301640,139411456,46758048,21841920,394041556
resnet18_32x32_1024_elegant_no,2074741248,46758048,446603272,278822912,46758048,43683840,714643124
resnet18_32x32_2048_elegant_no,3259397120,46758048,893206536,557645824,46758048,87367680,1356929844
resnet18_32x32_4096_elegant_no,5622427648,46758048,1786413064,1115291648,46758048,174735360,2655851984
resnet50_32x32_256_reweight_no,5387547136,102228128,444573704,33554432,102228128,4831866880,0
resnet50_32x32_512_reweight_no,10673237504,102228128,889147400,67108864,102228128,9663733760,0
resnet50_32x32_1024_reweight_no,21240374784,102228128,1778294792,134217728,102228128,19327467520,0
resnet50_32x32_256_elegant_no,1408401920,102228128,444573704,250060800,102228128,55485440,307752016
resnet50_32x32_512_elegant_no,2293324800,102228128,889147400,500121600,102228128,110970880,565503036
resnet50_32x32_1024_elegant_no,3675032576,102228128,1778294792,1000243200,102228128,221941760,854477964
resnet50_32x32_2048_elegant_no,6616434176,102228128,3556589576,2000486400,102228128,443883520,1626451564
resnet152_32x32_128_reweight_no,3124556800,240771232,461362184,16777216,240771232,2415933440,0
resnet152_32x32_256_reweight_no,6004339200,240771232,922724360,33554432,240771232,4831866880,0
resnet152_32x32_512_reweight_no,11768557056,240771232,1845448712,67108864,240771232,9663733760,0
resnet152_32x32_1024_reweight_no,23294240256,240771232,3690897416,134217728,240771232,19327467520,0
resnet152_32x32_128_elegant_no,2206832640,240771232,461362184,244568064,240771232,78074368,912431680
resnet152_32x32_256_elegant_no,3212728832,240771232,922724360,489136128,240771232,156148736,1383920768
resnet152_32x32_512_elegant_no,5301050368,240771232,1845448712,978272256,240771232,312297472,2080734828
resnet152_32x32_1024_elegant_no,9339062272,240771232,3690897416,1956544512,240771232,624594944,3792338012
bert-base_32x32_32_reweight_no,6226978304,433250316,512983688,25165824,431671308,5700870912,0
bert-base_32x32_64_reweight_no,11930994688,433250316,1025959176,50331648,431671308,11401741824,0
bert-base_32x32_128_reweight_no,23340075520,433250316,2051910152,100663296,431671308,22803483648,0
bert-base_32x32_32_elegant_no,2025568768,433250316,512983688,352420224,431671308,15729280,0
bert-base_32x32_64_elegant_no,2666933248,433250316,1025959176,704840448,431671308,31458560,0
bert-base_32x32_128_elegant_no,3956806144,433250316,2051910152,1409680896,431671308,62917120,0
bert-base_32x32_256_elegant_no,6517681152,433250316,4103812104,2819361792,431671308,125834240,0
bert-large_32x32_16_reweight_no,5256750592,1334329356,681726280,16777216,1332224012,3800588672,0
bert-large_32x32_32_reweight_no,9059423744,1334329356,1363444360,33554432,1332224012,7601177344,0
bert-large_32x32_64_reweight_no,16666867712,1334329356,2726880520,67108864,1332224012,15202354688,0
bert-large_32x32_128_reweight_no,31875463680,1334329356,5453752840,134217728,1332224012,30404709376,0
bert-large_32x32_16_elegant_no,4967181824,1334329356,681726280,461439168,1332224012,20709696,0
bert-large_32x32_32_elegant_no,5818412544,1334329356,1363444360,922878336,1332224012,41419392,0
bert-large_32x32_64_elegant_no,7518777856,1334329356,2726880520,1845756672,1332224012,82838784,0
bert-large_32x32_128_elegant_no,10923702272,1334329356,5453752840,3691513344,1332224012,165677568,0
deepspeech_32x32_16_reweight_no,9570100736,999271552,119277832,5308416,999271552,5033821376,0
deepspeech_32x32_32_reweight_no,18138237440,999271552,238555656,10616832,999271552,10067642752,0
deepspeech_32x32_16_elegant_no,9573078016,999271552,119277832,57766912,999271552,38475776,0
deepspeech_32x32_32_elegant_no,18144193536,999271552,238555656,115533824,999271552,76951552,0
gnmt_32x32_16_reweight_no,5787708928,1106658304,407347848,131072000,1106658304,4196352000,0
gnmt_32x32_32_reweight_no,10467708928,1106658304,814695688,262144000,1106658304,8392704000,0
gnmt_32x32_64_reweight_no,19821417472,1106658304,1629391368,524288000,1106658304,16785408000,0
gnmt_32x32_16_elegant_no,4049019392,1106658304,407347848,218693632,1106658304,6766592,0
gnmt_32x32_32_elegant_no,4506887168,1106658304,814695688,437387264,1106658304,13533184,0
gnmt_32x32_64_elegant_no,5418692608,1106658304,1629391368,874774528,1106658304,27066368,0
gnmt_32x32_128_elegant_no,7252529664,1106658304,3258782728,1749549056,1106658304,54132736,0
