,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
deepspeech_32x32_16_reweight_no,6164850688,999271552,119277832,10485760,999271552,5033821376,0
deepspeech_32x32_32_reweight_no,11327736832,999271552,238555656,20971520,999271552,10067642752,0
deepspeech_32x32_64_reweight_no,21655409664,999271552,477111304,41943040,999271552,20135285504,0
deepspeech_32x32_16_elegant_no,3142476800,999271552,119277832,62944256,999271552,38475776,0
deepspeech_32x32_32_elegant_no,3286885888,999271552,238555656,125888512,999271552,76951552,0
deepspeech_32x32_64_elegant_no,3570645504,999271552,477111304,251777024,999271552,153903104,0
deepspeech_32x32_128_elegant_no,4421319680,999271552,954222600,503554048,999271552,307806208,0
gnmt_32x32_16_reweight_no,5787708928,1106658304,407347848,131072000,1106658304,4196352000,0
gnmt_32x32_32_reweight_no,10467708928,1106658304,814695688,262144000,1106658304,8392704000,0
gnmt_32x32_64_reweight_no,19821417472,1106658304,1629391368,524288000,1106658304,16785408000,0
gnmt_32x32_16_elegant_no,4049019392,1106658304,407347848,231276544,1106658304,6766592,0
gnmt_32x32_32_elegant_no,4506887168,1106658304,814695688,462553088,1106658304,13533184,0
gnmt_32x32_64_elegant_no,5418692608,1106658304,1629391368,925106176,1106658304,27066368,0
gnmt_32x32_128_elegant_no,7252529664,1106658304,3258782728,1850212352,1106658304,54132736,0
