,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients
bert-base_32x32_32_naive_no,14956414464,433250316,667132552,25165824,431671308,13813481856
bert-base_32x32_32_naive_no,14956414464,433250316,667132552,25165824,431671308,13813481856
bert-base_32x32_32_reweight_no,3376567808,433250316,667132552,25165824,431671308,2850448256
bert-base_32x32_32_elegant_no,2431465472,433250316,667132552,352420224,431671308,15729280
bert-base_64x64_32_naive_no,14946215424,433250316,1371808392,50331648,431671308,13813481856
bert-base_64x64_32_reweight_no,3379738112,433250316,1371808392,50331648,431671308,2850448256
bert-base_64x64_32_elegant_no,3116734464,433250316,1371808392,704741760,431671308,15729280
bert-base_128x128_32_naive_no,14969071104,433250316,2894406280,100663296,431671308,13813481856
bert-base_128x128_32_reweight_no,3932822016,433250316,2894406280,100663296,431671308,2850448256
bert-base_128x128_32_elegant_no,4496185344,433250316,2894406280,1409384832,431671308,15729280
bert-base_256x256_32_naive_no,14946362880,433250316,6392586888,201326592,431671308,13813481856
bert-base_256x256_32_reweight_no,8488720896,433250316,6392586888,201326592,431671308,2850448256
bert-base_256x256_32_elegant_no,8438779904,433250316,6392586888,2818670976,431671308,15729280
bert-base_512x512_32_naive_no,22219590656,433250316,15200887432,402653184,431671308,13813481856
bert-base_512x512_32_reweight_no,21761763840,433250316,15200887432,402653184,431671308,2850448256
bert-base_512x512_32_elegant_no,22219395072,433250316,15200887432,5637243264,431671308,15729280
bert-large_32x32_16_naive_no,24342314496,1334329356,885154120,16777216,1332224012,21315584192
bert-large_32x32_16_reweight_no,3356484608,1334329356,885154120,16777216,1332224012,1900306880
bert-large_32x32_16_elegant_no,6256123904,1334329356,885154120,461439168,1332224012,20709696
bert-large_64x64_16_naive_no,24342326784,1334329356,1820500296,33554432,1332224012,21315584192
bert-large_64x64_16_reweight_no,3499858432,1334329356,1820500296,33554432,1332224012,1900306880
bert-large_64x64_16_elegant_no,7168397312,1334329356,1820500296,922812608,1332224012,20709696
bert-large_128x128_16_naive_no,24342351360,1334329356,3842187592,67108864,1332224012,21315584192
bert-large_128x128_16_reweight_no,5849086464,1334329356,3842187592,67108864,1332224012,1900306880
bert-large_128x128_16_elegant_no,8992944128,1334329356,3842187592,1845559488,1332224012,20709696
bert-large_256x256_16_naive_no,24342400512,1334329356,8489541960,134217728,1332224012,21315584192
bert-large_256x256_16_reweight_no,11906497024,1334329356,8489541960,134217728,1332224012,1900306880
bert-large_256x256_16_elegant_no,12642037760,1334329356,8489541960,3691053248,1332224012,20709696
bert-large_512x512_8_naive_no,15627201536,1334329356,10100089000,134217728,1332224012,10657792096
bert-large_512x512_8_reweight_no,15502505472,1334329356,10100089000,134217728,1332224012,950153440
bert-large_512x512_8_elegant_no,15543250944,1334329356,10100089000,3691020384,1332224012,10354848
gnmt_32x32_16_naive_no,20519088128,1106658304,531366536,131072000,1106658304,17706532864
gnmt_32x32_16_reweight_no,3690557952,1106658304,531366536,131072000,1106658304,2099200128
gnmt_32x32_16_elegant_no,4887670272,1106658304,531366536,218693632,1106658304,6504512
gnmt_64x64_16_naive_no,20585796096,1106658304,1192756360,262144000,1106658304,17706532864
gnmt_64x64_16_reweight_no,4306228224,1106658304,1192756360,262144000,1106658304,2099200128
gnmt_64x64_16_elegant_no,5462642688,1106658304,1192756360,437518336,1106658304,6504512
gnmt_128x128_16_naive_no,20713723392,1106658304,2918680712,524288000,1106658304,17706532864
gnmt_128x128_16_reweight_no,6315512320,1106658304,2918680712,524288000,1106658304,2099200128
gnmt_128x128_16_elegant_no,7005951488,1106658304,2918680712,875560960,1106658304,6504512
gnmt_256x256_16_naive_no,23542209536,1106658304,7983108232,1048576000,1106658304,17706532864
gnmt_256x256_16_reweight_no,17212480000,1106658304,7983108232,1048576000,1106658304,2099200128
gnmt_256x256_16_elegant_no,17175518208,1106658304,7983108232,1753219072,1106658304,6504512
gnmt_512x512_4_naive_no,16833520640,1106658304,6140766248,524288000,1106658304,4426633216
gnmt_512x512_4_reweight_no,15975051776,1106658304,6140766248,524288000,1106658304,524800032
gnmt_512x512_4_elegant_no,15585797120,1106658304,6140766248,878706688,1106658304,1626128
deepspeech_32x32_16_naive_no,19665219072,999271552,182401288,5308416,999271552,16002553856
deepspeech_32x32_16_reweight_no,9570100736,999271552,182401288,5308416,999271552,15142208
deepspeech_32x32_16_elegant_no,9575699456,999271552,182401288,57766912,999271552,38475776
deepspeech_64x64_16_naive_no,19667282432,999271552,358370568,10616832,999271552,16002553856
deepspeech_64x64_16_reweight_no,9741740544,999271552,358370568,10616832,999271552,15142208
deepspeech_64x64_16_elegant_no,9752611840,999271552,358370568,115533824,999271552,38475776
deepspeech_128x128_16_naive_no,19666952704,999271552,710309128,21233664,999271552,16002553856
deepspeech_128x128_16_reweight_no,10086920704,999271552,710309128,21233664,999271552,15142208
deepspeech_128x128_16_elegant_no,10108337152,999271552,710309128,231067648,999271552,38475776
deepspeech_256x256_16_naive_no,19668587008,999271552,1414186248,42467328,999271552,16008652800
deepspeech_256x256_16_reweight_no,10777281024,999271552,1414186248,42467328,999271552,15142208
deepspeech_256x256_16_elegant_no,10819787776,999271552,1414186248,462135296,999271552,44574720
deepspeech_512x512_16_naive_no,22195809280,999271552,2821940488,84934656,999271552,16029886464
deepspeech_512x512_16_reweight_no,12158001664,999271552,2821940488,84934656,999271552,15142208
deepspeech_512x512_16_elegant_no,12242689024,999271552,2821940488,924270592,999271552,65808384
