,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_naive_no,206.04862242328878,1.0905095509120397,9.429296668694944,16.997050265876613,112.60622374865474,57.2818712312348,6.690395121671716,1.5755137618707151,24300524032
resnet18_32x32_512_reweight_no,214.56154025330835,1.1056807576393595,9.367993899754115,17.030419135580257,112.90240287780762,31.877113848316426,6.998855240490972,1.5752948060327647,10005856256
resnet18_32x32_512_elegant_no,131.1051285996729,1.0814861375458387,9.769464025692065,16.90333230154855,65.78636463320986,33.69727366311209,1.163633937130169,2.0490982094589545,1761750528
resnet18_224x224_256_naive_no,516.0234825951712,14.559755519944794,61.960011112446686,114.63449195939667,285.12781250233553,30.21193280511973,7.326308561831104,1.8104217490371393,18398449664
resnet18_224x224_256_reweight_no,742.3131052328616,14.752088760843082,62.15375053639315,115.26072025299072,284.4175781522478,235.5971287707893,7.2940782624848035,1.7813298167014608,10788399104
resnet18_224x224_256_elegant_no,454.0504655059503,15.157047583132375,61.88751726734395,114.74395284847337,204.44989194675367,53.482717144246,1.0453985847380696,1.7694818730256996,11274452992
resnet50_32x32_256_naive_no,338.44804277225415,0.9007526903736348,26.809028216770717,34.331460388339295,178.23457474611243,67.40385172318439,24.00706738841777,5.708687159479881,26571204608
resnet50_32x32_256_reweight_no,387.6484364879375,0.8628368377685547,26.855220600050323,34.5954992333237,179.54005270588155,69.39554214477539,23.303396847783304,5.698150517989178,5498391552
resnet50_32x32_256_elegant_no,220.59882417017099,0.8417781518430126,27.465747327220683,34.02155759383221,106.46861202862797,41.972135602211466,2.7924328318664005,5.5853055447948226,2037885952
resnet50_224x224_128_naive_no,685.6115302261042,8.348610936378947,118.07934848629698,163.84008709265262,332.08559970466456,37.500955620590524,20.30556785817049,4.4142689023699075,21717297152
resnet50_224x224_128_reweight_no,1049.847269544796,8.045196533203125,117.82037481969716,163.97890266107052,330.4452166265371,372.58000763095157,19.482773177477778,4.367745652490733,13659888128
resnet50_224x224_128_elegant_no,997.3229121188729,7.5803313936506,119.41933145328444,234.88440562267692,535.6077364318224,84.41442514925586,7.547582589850133,6.105362152566715,24064088576
resnet152_32x32_128_naive_no,678.3360997024847,0.7485370246731505,68.95037086642519,69.9948534673574,378.57319870773625,86.37979809118777,57.93305075898462,12.834125635575274,31558935552
resnet152_32x32_128_reweight_no,879.1904376477611,0.6684770389479033,75.23750042428776,72.34399659293038,392.73327224108635,167.31414016412228,67.68376973210549,15.917573656354632,3375398400
resnet152_32x32_128_elegant_no,454.39924269306414,0.6879276158858318,73.74689773637421,71.58802966682278,219.48938052508296,61.68333055535141,7.2742142361037585,16.114714194317255,3119436288
resnet152_224x224_64_naive_no,992.3764856494203,4.284291851277254,157.81030119681844,199.5645639847736,456.4176116670881,88.96025589534214,66.30287851606097,15.6294618334089,21070022656
resnet152_224x224_64_reweight_no,1397.8708690526535,4.078390646953972,153.8169189375274,197.88387356972208,445.56222399886775,466.0850666007217,54.38994144906803,11.984769178896535,13123192320
resnet152_224x224_64_elegant_no,1124.3840285709925,4.172889553770727,152.56272043500627,203.28863056338562,598.9444803121139,118.47059483430823,32.74527755318856,10.837058631741272,27690457088
bert-base_32x32_32_naive_no,315.52389446569947,0.5522309517373845,28.16219475804543,28.127261570521764,81.80499320127527,149.14447434094487,21.89771739804015,4.738099721013283,17632355840
bert-base_32x32_32_reweight_no,262.11830304593457,0.5479223874150491,27.51156018704784,28.34056348216777,81.55535435190006,68.58179763871796,21.64183100875543,4.545659435038664,6681981440
bert-base_32x32_32_elegant_no,151.5131021032528,0.5065591967835719,27.007927699964874,27.403001882592026,52.250414244982665,34.85423280754868,3.953701303929699,4.344621483160525,2618818560
