,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_naive_no,277.757960922864,1.0805300303867884,9.36717159894048,17.813171659197128,86.89571156793711,153.58383314950126,6.766382528811085,1.6068658050225706,24301457920
resnet18_32x32_512_reweight_no,291.0568860112404,1.0457939031172772,10.772191748327138,17.177781280206176,86.81682421236621,129.3009714204438,9.042418732935069,2.2085175222280076,10005868032
resnet18_32x32_512_elegant_no,137.2539607846007,1.024190260439503,10.193520662735919,17.24847482175243,64.45204635542267,40.03654958763901,1.130666619204745,2.2400131030958526,1497139712
resnet50_32x32_256_naive_no,390.6474624361311,0.7667955087155712,22.01682694104253,32.806917112700795,135.94560963766915,176.85452286078007,17.149093199749384,3.664464366679289,26572187648
resnet50_32x32_256_reweight_no,450.21581893064536,0.7928439549037388,22.136868262777522,34.38548165924695,143.31572639698885,180.75453018655583,16.974860308121663,3.8177529159857304,5498402304
resnet50_32x32_256_elegant_no,225.73387379548987,0.7348960759688397,25.712397633766642,33.99038801387865,101.06229470700634,54.3953069959368,2.5360409693450343,5.414086945202886,1515450368
resnet152_32x32_128_naive_no,749.6741937131297,0.6607065395433076,62.20755285146285,66.89844569381403,313.04728498264234,241.89019689754565,49.87607683454241,10.936931687958387,31560213504
resnet152_32x32_128_reweight_no,897.2476964094201,0.6718805858067104,61.9210029134945,66.28134785866251,316.34874733126895,306.9976568222046,50.16903974572006,11.265951759961187,3375408640
resnet152_32x32_128_elegant_no,420.79506844890363,0.6234426887667909,61.882675910482604,65.96450416409239,181.3468412477143,91.57891762013338,4.309174791282537,10.825546420350367,2450372096
bert-base_32x32_32_naive_no,278.8565645412523,0.5285350643858617,26.758259656477946,28.24397476351991,61.597777872669454,134.10665064441915,21.269287381853378,4.712087767464774,17632617984
bert-base_32x32_32_reweight_no,353.8861761287767,0.5208278188900072,26.435774199816645,30.346843661094198,67.34387971916978,171.85745677169487,20.930462953995686,4.322239330836704,6681993728
bert-base_32x32_32_elegant_no,172.56565969817493,0.5587315072818678,28.708387394340672,29.96170277498206,50.33724798474993,52.71458787334208,3.5162143415334275,5.001469534270617,2370098688
bert-large_32x32_16_naive_no,518.2730956953399,0.6320111605585838,61.042895122450226,51.15512925751355,111.18238556141756,224.9122395807383,53.29240341575778,12.828741754804339,26004848128
bert-large_32x32_16_reweight_no,593.6724336779847,0.5646603448050362,50.389727767632934,49.64406393012222,111.68688170763912,280.0157021503059,41.23587024455168,8.930018969944545,6589761536
bert-large_32x32_16_elegant_no,296.967829976763,0.5296614705299845,51.40505518232073,50.4335846219744,88.34009081003617,86.20695020714585,7.8147812522187525,9.451102237312162,6181511168
deepspeech_32x32_16_naive_no,262.51500723313313,0.4675947889989736,26.72959347160495,21.859373365129745,36.12485467171182,165.53684156768176,7.283337262212013,4.126135183840382,20555208704
deepspeech_32x32_16_reweight_no,304.4075454984392,0.7075047006412428,29.204008530597296,21.622083625014948,34.68258526860451,184.64725844714107,7.5140972526706,4.295220180433624,8843711488
deepspeech_32x32_16_elegant_no,128.93990351229297,0.5966497927295918,27.365171179479482,21.862436314018407,35.93007981047339,34.7032497172453,3.709899191953698,4.239216142771196,4142490624
gnmt_32x32_16_naive_no,354.14056388699277,0.6328626554839465,88.46671727238869,57.93050600557911,41.58215863364084,150.37035698793372,10.043073673637545,4.645242982981157,22219960832
gnmt_32x32_16_reweight_no,447.48696988942675,0.5605634377927197,66.00632959482621,59.767937173648754,40.71601069703394,244.24609845998336,8.047792376304159,4.52363734342614,6916106752
gnmt_32x32_16_elegant_no,234.2685436715885,0.5789241012261839,89.18915962686344,62.205012963742625,27.55690492902483,45.06834501149703,4.490384067807879,4.675383470496353,4894594560
