,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_elegant_no,133.68264266422815,1.0018178394862585,9.955778413889359,17.98257049249143,66.39098463253099,34.384791452057506,1.2346149181224861,2.0926339285714284,1575530496
resnet50_32x32_256_elegant_no,216.111066390057,0.6971432238209004,25.432413938094157,33.78335067204067,106.43674268527907,40.47357294510822,2.571043404389401,5.383693442052724,1599712256
resnet152_32x32_128_elegant_no,439.017831062784,0.5746812236552336,70.15071109849579,70.08296129654865,213.60783185764234,59.977206424790985,6.56954333490255,14.533274027766014,2657149440
resnet18_224x224_256_elegant_no,436.28946372440885,14.522932013686823,62.07195350102016,115.97688344060158,189.13702090905636,50.79482049358134,0.9068497547081539,1.5063675082459742,10275781120
resnet50_224x224_128_elegant_no,635.5623858315604,7.535479506667779,118.25107798284414,162.4334126102681,257.6731839861189,80.70176659798136,2.293145054457139,5.172683268177266,14526052352
resnet152_224x224_64_elegant_no,843.9353290869266,3.9800965056127433,153.25542615384472,197.111185716123,353.39549549258487,117.47481813236159,5.129706941088852,10.659317581021057,16410183680
bert-base_32x32_32_elegant_no,160.6558877594617,0.5636069239402304,27.781065629453074,30.01568755325006,56.20813881621069,35.8699234164491,4.348682172444402,4.608022923372229,2618818560
bert-large_32x32_16_elegant_no,276.9620978102392,0.505481447492327,51.361529194578836,48.89162219300562,96.59247373074902,57.66561642471625,10.898972574545413,9.146848503424197,7265660416
bert-base_64x64_32_elegant_no,213.0947648262491,0.5775422466044523,43.1428928764499,42.12812744841284,64.00589993535256,49.73570796421596,5.260968753269741,7.05115405880675,3226852864
bert-large_64x64_16_elegant_no,382.06635932533106,0.5413245181648099,76.18205887930733,78.49500373918183,124.2683493750436,80.5085522982539,10.727466150205963,9.116978061442472,8074366976
bert-base_128x128_32_elegant_no,313.7887837935467,0.5804202994521783,73.82519147833999,75.11773644661417,85.38713309229637,65.89780243075624,5.1558604921613425,6.608707564217704,4447511040
bert-large_128x128_16_elegant_no,568.980328890742,0.5683923254207689,136.7538899791484,132.91121502311861,163.6907992654917,109.12221554347447,11.86099151689179,11.906132406117965,9693429248
bert-base_256x256_32_elegant_no,511.50934306942685,0.5228251827006437,150.95291575606987,152.70440919058663,133.64296938448535,63.60635669863954,4.168247660812066,4.778927686263104,8845946368
bert-large_256x256_16_elegant_no,876.1272041165099,0.5487373897007534,253.12088703622624,256.0259249745583,238.85244188503344,106.48830987969224,10.650865136360636,8.577015935158244,13122385920
bert-base_512x512_32_elegant_no,991.2294757609465,0.5942534427253567,325.63808012981804,349.6483783332669,237.40629466699093,65.419891649363,5.070994978048364,6.192105157034738,22551064064
bert-large_512x512_8_elegant_no,902.7289079160106,0.5468835636061065,281.4278237673701,291.0881553377424,242.7672281459886,61.015880195461975,11.970115642158353,11.848196691396286,16843681280
deepspeech_32x32_16_elegant_no,136.77422854365136,0.49756741037174146,26.78618382434456,21.671076210177674,44.657733041412975,32.878607944566376,5.67240275655474,4.188423254051987,10573297664
gnmt_32x32_16_elegant_no,200.8198694306977,0.5066029879511619,63.60242074849654,56.28247407017922,26.999390894052933,42.043104113364706,6.390249928649591,4.608974164845992,5475489280
deepspeech_64x64_16_elegant_no,192.45929620703873,0.6721725269239776,48.11216130548594,39.51169033439792,51.79057897840227,41.95235933576311,5.740422321825611,4.235459833729024,10746769408
gnmt_64x64_16_elegant_no,337.82590651998714,0.5918230329241071,120.1487584989898,108.34551344112474,40.14710334855683,57.157860697532186,6.4243638320845005,4.625734017819775,6050134016
deepspeech_128x128_16_elegant_no,316.1299277325066,0.5399767233400928,91.57975839108838,75.35198756626674,79.56763538049192,59.00400006041235,5.591380304219771,4.100016185215542,11097579520
gnmt_128x128_16_elegant_no,605.0759286296611,0.5844758481395488,230.47067194568868,219.70629205509107,68.01960522787911,74.93785118570133,6.4009702254314815,4.571956031176509,7595678720
deepspeech_256x256_16_elegant_no,715.9683996317337,0.7191896438598633,337.9474148458364,147.50779648216403,137.78310431266317,81.4796829807515,5.790947558928509,4.347180833621901,11798970368
gnmt_256x256_8_elegant_no,942.2803387349966,0.5655094068877551,418.1925715232382,403.9477255879616,68.78956880374831,39.41927170266911,6.40138959398075,4.60218653386953,10250211328
deepspeech_512x512_16_elegant_no,1123.1069151236086,1.041207994733538,476.25151702335904,294.13571649668165,259.74805442654355,81.49095885607662,5.748309086780159,4.288551758746712,13200080896
gnmt_512x512_4_elegant_no,1635.3030837312037,0.5951511616609535,812.3586421110192,719.4257123129709,69.39724832651567,22.099976500686335,6.452784173342646,4.619810045981894,16693495808
