,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_elegant_int8,129.36802542939478,1.0695116860525948,7.98208372933524,17.049969459066585,67.5793988169456,34.55818935316436,0.40589907217998894,0.11690295472437022,1402892288
resnet18_224x224_256_elegant_int8,507.6642523006517,14.528904642377581,60.75207067995655,115.32310806975073,254.58525955433748,60.571896300023916,0.40349097732378514,0.145666453303123,9854610432
resnet50_32x32_256_elegant_int8,201.25052393699178,0.7372291720643336,19.1006173892897,32.73651794511445,104.95531224231331,41.64238460696473,0.7319808498937257,0.11446281355254505,1192100352
resnet50_224x224_128_elegant_int8,721.7200580908328,7.557467538483289,114.3491487113797,169.3518575356931,343.9244707068618,83.96905634354572,0.7542424287114825,0.20492320158043686,12858545152
resnet152_32x32_128_elegant_int8,390.11226138290095,0.58805699251136,50.94137240429314,66.28397776156055,205.0499490231884,62.3653440086209,1.5921285724153325,0.1674379621233259,2118863360
resnet152_224x224_64_elegant_int8,899.2153673755879,4.00740029860516,144.23680792049487,198.17878762070015,424.2101633694707,123.78772239295803,1.6204332648491373,0.22215989171242229,15186900480
bert-base_32x32_32_elegant_int8,147.7091798976976,0.5087755164321588,23.017148582302795,27.94310997943489,58.166778564453125,34.02259657334308,2.510829205415687,0.44503260631950536,1836134400
bert-base_64x64_32_elegant_int8,197.21314615132857,0.5190469780746771,37.197018156246266,43.16956656319754,64.47651481628418,47.64069282765291,2.479267052241734,0.44700807454634683,2010746880
bert-base_128x128_32_elegant_int8,281.670837986226,0.5497859448802714,67.70534418067153,76.02307017968626,71.2617771576862,62.04510969045211,2.4915484165658754,0.45470802151426976,3786352128
bert-base_256x256_32_elegant_int8,475.4364393195327,0.6485544905370596,146.1498299423529,157.01682956851258,104.62865788596017,62.83343854242442,2.4980867468580907,0.5047418633285834,8408311296
bert-base_512x512_32_elegant_int8,921.7397388146848,0.7021865066216917,320.2768272283126,355.2756285180851,176.7222687468237,64.42142840794155,2.5565665911655038,0.5544253758021763,21729093120
bert-large_32x32_16_elegant_int8,282.46125396417114,0.5503941555412448,45.14102059967664,55.85150329434142,113.64533042907715,57.034372037770794,7.489958422524588,0.6092738132087552,5469813248
bert-large_64x64_16_elegant_int8,359.1717530270012,0.704303079721879,68.45633594357237,79.6282704995603,119.09654578384088,80.80993965693882,7.531324264954548,0.6974546276793188,5699221504
bert-large_128x128_16_elegant_int8,504.35432852530965,0.6234986441476005,126.13330568586078,136.9611876351493,125.2952601763667,105.14823146742218,7.449022658017217,0.6301232746669224,6156425216
bert-large_256x256_16_elegant_int8,777.0133261777917,0.6697713112344548,245.89573120584294,259.59425069847885,156.23918632585176,104.64162088900196,7.447504890208342,0.6209757863258829,11846047744
bert-large_512x512_8_elegant_int8,791.042870404769,0.8098884504668566,271.5269010894153,296.5260476482158,152.54975585548246,59.33493514936797,7.53475588195178,0.7523030650858976,15469015040
gnmt_32x32_16_elegant_int8,203.19920656632405,0.5902538494187959,64.25230843680245,57.975350594034,33.974990513859964,38.97648120413021,5.940722908292498,1.082875290695502,4352398336
gnmt_64x64_16_elegant_int8,345.0193307837661,0.7531715899097676,126.79283472956443,115.38685827839132,40.56125913347517,54.08345553339744,5.903805007739943,1.1090113192188495,4550161920
gnmt_128x128_16_elegant_int8,625.2016169684274,0.6791182926722935,248.6076038710925,236.68119615438033,59.140896816642915,72.60804518874811,5.955906702547657,1.1109575933339644,5941411840
gnmt_256x256_16_elegant_int8,1121.6337851115636,0.6627695901053292,447.5676697127673,449.1275573263363,144.2944200671449,72.52027949508356,5.946281175224149,1.1013162379362145,17486579712
gnmt_512x512_4_elegant_int8,1795.230439731053,0.8250401944530253,873.9733768969166,777.8214508173417,115.29587990897042,19.78170869788345,5.944833726299052,1.175590923854283,16407279616
deepspeech_32x32_16_elegant_int8,138.03217605668672,0.5024841853550502,25.746442833725286,26.701464944956253,48.411650910669444,30.805027533550653,5.365108689483331,0.11012992080377072,9571090944
deepspeech_64x64_16_elegant_int8,212.1067679658228,0.6466593061174665,48.40346015229517,54.08494569817368,61.662098417476734,41.157761476477795,5.447616348461229,0.1369544437953404,9743408128
deepspeech_128x128_16_elegant_int8,307.4725185121809,0.706336936172174,91.44778884187036,79.62692027189294,71.6931455573257,58.21007446366914,5.230180098085987,0.12838353916090361,10089913856
deepspeech_256x256_16_elegant_int8,520.2337430447948,0.7677078247070312,178.1991379601615,154.51450493870948,101.92375150018809,79.10767580538379,5.207683480515772,0.12601395042575136,10783482368
deepspeech_512x512_16_elegant_int8,932.6217953039676,1.0924777206109495,353.20346939320467,308.202719201847,184.55728108542306,79.72359386755495,5.2738862426913515,0.1660439432883749,12168980992
