,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_elegant_int8,211.0350618557054,1.0502022139880123,9.175911241648148,16.832865014368174,146.89876858068973,33.84359021089515,1.0327005310326207,1.573024963846012,1555769856
resnet50_32x32_256_elegant_int8,222.8715346784008,0.7100762153158382,25.664417111143774,33.92539948833232,111.91709681919643,41.217637568104024,2.628877193343883,5.421852578922194,1297215488
resnet152_32x32_128_elegant_int8,460.4297827701179,0.5860863899698063,72.44588647569928,70.49930582241136,225.3877193879108,64.28116773099316,7.5598618680117085,16.086485921120158,2349456896
resnet18_224x224_256_elegant_int8,483.8695088211371,14.764362451981524,62.01618544909419,116.0738687126004,235.72162493880913,51.3491566132526,0.9526119752197849,1.6178379253465303,9783730688
resnet50_224x224_128_elegant_int8,688.6678788126732,7.500213019701899,117.33128586593939,163.5431586479654,312.5299831896412,80.60589973294005,1.9548994904878187,3.736758718685228,12959796736
resnet152_224x224_64_elegant_int8,905.7852443383664,3.9880348711597677,153.58428809107568,198.42324451524385,408.7317065414117,121.55264190751679,5.031725694938582,11.470072123469139,15434202624
bert-base_32x32_32_elegant_int8,173.5265522587056,0.5613760072357801,32.391808470901175,29.47402000427246,60.55369022914341,37.56914267248037,5.130091560130217,6.58166165254554,2179752960
bert-large_32x32_16_elegant_int8,307.09606773999275,0.5210321776720942,53.548102476158924,56.12459474680375,112.95432789471684,60.79059953105693,11.153707878930229,9.761299405779157,6685283328
bert-base_64x64_32_elegant_int8,210.46943080668547,0.5723797545141104,42.70712940060363,41.91573541991565,62.1102721545161,50.2236686628692,5.163546725195282,6.524961821886958,2361181184
bert-large_64x64_16_elegant_int8,358.79282318815893,0.5426139247660734,75.15803648501026,74.15624783963574,105.4270053591047,80.85167865363918,10.873478986779038,9.820096346796776,6913078784
bert-base_128x128_32_elegant_int8,286.54452732631137,0.5169839275126554,71.8511488972878,74.96715321832774,65.55784663375543,63.7068705850718,4.235070340487422,4.569433173354791,4117648896
bert-large_128x128_16_elegant_int8,516.1402882361899,0.5699882701951631,133.43753863354118,132.67026385482475,118.8129076860389,109.19405818472103,10.616572954216782,8.612890632785096,7370282496
bert-base_256x256_32_elegant_int8,474.10127581382284,0.5872054975859973,151.48234853939135,152.47097793890507,90.49207917038275,66.28569589342389,5.1569942162961375,6.467597825186593,8726860800
bert-large_256x256_16_elegant_int8,784.6392417440609,0.6352857667572644,252.95768222030327,256.9448753279083,144.03582403611165,108.12970027145074,10.735619233579051,9.214002258923589,13043228160
bert-base_512x512_32_elegant_int8,911.0394472978553,0.601603060352559,325.57221334807724,349.9332812367653,155.37617235767598,65.75893370959224,5.263041544933708,7.295399296040437,22048199680
bert-large_512x512_8_elegant_int8,790.6131111845679,0.5464529504581374,277.35090499021567,291.16392622188647,140.37567814028992,59.54916557000608,10.656852211271014,8.984942825473084,16676451328
deepspeech_32x32_16_elegant_int8,161.09959203369763,1.0808560313010702,32.65898325005356,21.90284096464819,52.42464628024977,41.56161043595294,6.323633909225464,4.711676617057956,10571812352
gnmt_32x32_16_elegant_int8,208.07857902682557,0.5053914323145029,66.59259601515167,59.9546091897147,28.532682944317255,41.1203295454687,6.3915456022535055,4.599391197671696,5198357504
deepspeech_64x64_16_elegant_int8,300.960577264124,0.5707935411102918,92.0162346898293,85.78640587475834,67.28552292804329,44.38203251118563,5.89990758895874,4.439130121347856,10743201792
gnmt_64x64_16_elegant_int8,328.08004836646876,0.50938859277842,117.94640093433614,109.76561964774618,32.60520244131283,55.85747461902852,6.441116897427306,4.578072197583257,5396121088
deepspeech_128x128_16_elegant_int8,302.22691565143816,0.5441198543626435,92.1290261404855,75.33988174127073,66.33192971287941,57.72389273740807,5.626975069240648,4.114635136662697,11090606080
gnmt_128x128_16_elegant_int8,578.6738274048786,0.5400934997869997,228.2018418214759,208.69775694243762,54.885111283282846,74.97698571730633,6.403165223647137,4.581140012157206,6786326528
deepspeech_256x256_16_elegant_int8,513.3166556455651,0.6680902169675244,177.98405034201485,147.4800328819119,95.83346376613694,81.19851846111064,5.645457666747424,4.1165741122498805,11783315456
gnmt_256x256_8_elegant_int8,944.1539414074956,0.5551017060571787,424.6901371041123,398.68494199246777,69.5701815352148,39.35214525339555,6.404875044920007,4.54418269955382,10273648640
deepspeech_512x512_16_elegant_int8,912.4987684950537,0.9269568384910116,353.142786999138,293.8661623974236,173.21025558393828,81.23939623151507,5.625550338200161,4.119627329767967,13168712704
gnmt_512x512_4_elegant_int8,1667.487750248033,0.6132880035711794,811.3000660526509,717.0933047119452,105.1936946985673,21.834317090559978,6.489346869137822,4.614888405313297,17253241856
