,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
bert-base_32x32_32_elegant_no,145.4266626007703,0.47195201017418686,22.63454028538295,30.14226349032655,54.366173588499734,34.26738431502362,2.482839268081042,0.44394755850032885,2615175168
bert-base_32x32_32_elegant_int8,162.42073020156548,0.4870745600486288,22.909393115919464,29.620725281384527,71.45961640805615,34.39078171399175,2.4701813775665906,0.44323473560566806,2175873536
bert-base_64x64_32_elegant_no,199.25006798335485,0.5249514871714066,37.6317987636644,43.15679170647446,66.0793023790632,48.278639890709705,2.5029891364428463,0.45649859370017537,3223373824
bert-base_64x64_32_elegant_int8,209.73562950990637,0.4840724322260643,37.073123211763345,43.202779730971976,77.2188969436957,48.18048025637257,2.466658962016203,0.4444803510393415,2350486016
bert-base_128x128_32_elegant_no,296.03082306531013,0.4562577422784299,67.8454759169598,76.3317565528714,86.34172752925328,61.64812679680026,2.443932260785784,0.4343767555392518,4443965440
bert-base_128x128_32_elegant_int8,289.0533598101869,0.5197792637104891,67.95343087643994,76.36406956886759,78.69631409158512,62.0682024469181,2.4562929406458016,0.44034695138736646,3773868544
bert-base_256x256_32_elegant_no,508.4844438397154,0.5090139350112604,147.62699117465894,157.4282792149758,137.67769936152868,61.79660489607831,2.461110316977209,0.448192868913923,8502728192
bert-base_256x256_32_elegant_int8,476.9976601308706,0.5090115021686165,147.20759829696343,157.22049255760348,106.49927452632359,62.08923320381009,2.468707568791448,0.4474021950546576,8383244800
bert-base_512x512_32_elegant_no,995.3280492704741,0.5269804779364138,323.42455825027156,357.4764023021776,247.83820761466512,62.50405249303701,2.4561362923408043,0.467037668033522,22207845888
bert-base_512x512_32_elegant_int8,917.8545791275648,0.6308774558865294,321.74584816913216,356.9688578041232,172.22572739270268,62.68118218013218,2.5120803117752075,0.4927065907692423,21704581120
bert-large_32x32_16_elegant_no,254.9981973609146,0.49787881423015984,45.67555991970763,50.41874914753194,94.17153564764529,55.324212794401205,7.453064344367203,0.5790676389421735,7259356672
bert-large_32x32_16_elegant_int8,276.8243161999449,0.48291196628492705,42.63740899611493,50.10858117317667,120.6706460641355,53.868803900115346,7.430041673232098,0.5715696179136938,6678579200
bert-large_64x64_16_elegant_no,357.67521420303655,0.5124783029361647,69.89097838499109,79.95113547967405,118.86366686529043,79.56953798021588,7.251431075894103,0.6000849665427694,8068869632
bert-large_64x64_16_elegant_int8,349.68026073611514,0.46104314375896843,67.30386432336302,73.51312588672249,122.62376178040796,76.84886325135523,7.416388735479238,0.5787075782308773,6907181056
bert-large_128x128_16_elegant_no,534.2490940677876,0.5142226511118363,127.29717274101414,135.58301147149533,157.9212428890929,104.07918704285913,7.433977161134992,0.5818556766120755,9687895552
bert-large_128x128_16_elegant_int8,510.8551906079662,0.4961782572220783,126.66176289928202,134.7742494271726,135.922500201634,104.02399816318434,7.447779611665375,0.5754743303571429,7364384768
bert-large_256x256_16_elegant_no,872.9990696420475,0.5151738925855986,248.40560494637003,262.2933460741627,249.26294194435587,103.67694074280408,7.395649598569286,0.5849015956022301,12925620224
bert-large_256x256_16_elegant_int8,794.3100880603401,0.4956478975257095,246.7390980039324,261.00129010725993,173.04714950250118,104.06129202550771,7.430254259888007,0.582257095648318,11829337088
bert-large_512x512_8_elegant_no,880.623780951208,0.5064302561234455,278.1947607896766,295.91332649698063,242.6187274504681,54.9057224624011,7.085834216098396,0.5792792962521923,15628484608
bert-large_512x512_8_elegant_int8,800.7668597357614,0.5068195109464684,271.71384315101466,297.0796823501587,167.06304236820765,55.40508865823551,7.430895304193302,0.5924093480012855,15460854272
gnmt_32x32_16_elegant_no,218.7667501216032,0.48455656791219903,68.04549937345544,70.01637439338528,33.31705358077069,39.66489231343172,5.920762290759963,1.0654318089387855,5475082752
gnmt_32x32_16_elegant_int8,209.433202840844,0.4594812587815888,67.1569960457938,58.870067401808136,37.79008487779267,37.934530024625815,5.926926384166795,1.0562940519683215,5197551104
gnmt_64x64_16_elegant_no,369.8229327493784,0.5110940154717893,119.80877360519098,138.60553381394368,47.74168859209333,56.005554646861796,5.807732110120813,1.0911007316745058,6049924096
gnmt_64x64_16_elegant_int8,362.4080833123655,0.5062696885089485,117.55513901613196,136.93369164758798,47.121757740877115,53.05077870038091,5.906876481309229,1.0680422490956831,5394528256
gnmt_128x128_16_elegant_no,627.6782653769668,0.5357703384088011,240.91904990527095,228.4719433103289,77.13091893098792,73.3139696705098,5.974429077031661,1.0854103127304389,7595861504
gnmt_128x128_16_elegant_int8,650.7396770983327,0.5183341551800164,222.55347212966606,273.92739179183025,73.09059857349007,73.32661042894635,5.952474034562403,1.0733385475314394,6112288256
gnmt_256x256_16_elegant_no,1149.7166886621592,0.5658013480050224,471.9119777484816,455.51970296976515,140.94914590095988,73.47868057173126,5.952799461325821,1.0877409759832888,17437922816
gnmt_256x256_16_elegant_int8,1132.7268882673613,0.5294984700728436,432.9584934273545,436.35736679544254,182.3430111943459,73.26711845397949,5.935353556457831,1.0793184747501297,17486514688
gnmt_512x512_4_elegant_no,1682.3547129728356,0.5496302429510622,854.0579810434458,724.3243261259429,76.5092470207993,19.66176038858842,5.92628753915125,1.0930105131499621,15847949824
gnmt_512x512_4_elegant_int8,1956.966572878312,0.5177502729454819,800.2340574653781,971.7881849833897,157.40691391302616,19.738039367052973,5.94552494068535,1.0865075247628349,16407312896
