Config,Throughput (#example/s)
resnet18_32x32_512_naive_no_hooks,3230.787796179743
resnet18_32x32_512_naive_no_ew,2327.8637581752273
resnet18_32x32_2048_reweight_no_hooks,2434.2877141980503
resnet18_32x32_1024_reweight_no_ew,2051.7348259439664
resnet18_32x32_16384_elegant_no_hooks,3188.226214797669
resnet50_32x32_256_naive_no_hooks,1197.0387282742088
resnet50_32x32_256_naive_no_ew,1006.6872896546636
resnet50_32x32_1024_reweight_no_hooks,960.8497600743236
resnet50_32x32_1024_reweight_no_ew,833.40939104107
resnet50_32x32_4096_elegant_no_hooks,1567.049137261278
resnet152_32x32_128_naive_no_hooks,296.17795649087174
resnet152_32x32_128_naive_no_ew,317.23839561919027
resnet152_32x32_1024_reweight_no_hooks,400.46612710026386
resnet152_32x32_512_reweight_no_ew,374.77794966017547
resnet152_32x32_2048_elegant_no_hooks,779.1886251600037
resnet18_224x224_256_naive_no_hooks,413.5635009396196
resnet18_224x224_256_naive_no_ew,438.506691509919
resnet18_224x224_512_reweight_no_hooks,263.6392678253943
resnet18_224x224_256_reweight_no_ew,280.05812733830754
resnet18_224x224_512_elegant_no_hooks,471.743481185859
resnet50_224x224_128_naive_no_hooks,171.25175483547665
resnet50_224x224_128_naive_no_ew,159.27642516512807
resnet50_224x224_256_reweight_no_hooks,104.47664895789794
resnet50_224x224_128_reweight_no_ew,100.85730763840593
resnet50_224x224_128_elegant_no_hooks,163.69486368180702
resnet152_224x224_64_naive_no_hooks,72.23954591116953
resnet152_224x224_32_naive_no_ew,60.01237379336624
resnet152_224x224_128_reweight_no_hooks,44.744950630868814
resnet152_224x224_64_reweight_no_ew,41.19801066902887
resnet152_224x224_64_elegant_no_hooks,69.42183644917071
bert-base_32x32_64_naive_no_hooks,152.91297541308677
bert-base_32x32_32_naive_no_ew,280.36539611630326
bert-base_32x32_256_reweight_no_hooks,269.13260363983846
bert-base_32x32_128_reweight_no_ew,256.3399527915496
bert-base_32x32_1024_elegant_no_hooks,396.77191450557893
bert-large_32x32_16_naive_no_hooks,40.116958665801306
bert-large_32x32_16_naive_no_ew,78.43518743183118
bert-large_32x32_128_reweight_no_hooks,81.09523806646635
bert-large_32x32_64_reweight_no_ew,74.7081738398795
bert-large_32x32_256_elegant_no_hooks,116.82797199023284
deepspeech_32x32_16_naive_no_hooks,49.245859289481245
deepspeech_32x32_64_reweight_no_hooks,153.47439868880195
deepspeech_32x32_512_elegant_no_hooks,217.8493876569746
gnmt_32x32_16_naive_no_hooks,49.10204801663074
gnmt_32x32_64_reweight_no_hooks,100.95284263368929
