Config,Throughput (#example/s)
resnet18_32x32_512_naive_no_hooks,2049.1567076256215
resnet18_32x32_512_naive_no_ew,1840.7704293643649
resnet18_32x32_1024_reweight_no_hooks,1775.1813441114182
resnet18_32x32_1024_reweight_no_ew,1650.3844007014745
resnet18_32x32_16384_elegant_no_hooks,3157.0858978496312
resnet50_32x32_256_naive_no_hooks,810.3693531259929
resnet50_32x32_256_naive_no_ew,793.7761737442347
resnet50_32x32_1024_reweight_no_hooks,700.346455795173
resnet50_32x32_1024_reweight_no_ew,688.7194158344871
resnet50_32x32_4096_elegant_no_hooks,1545.3167343704347
resnet152_32x32_128_naive_no_hooks,211.04984293251346
resnet152_32x32_64_naive_no_ew,135.1219369778685
resnet152_32x32_512_reweight_no_hooks,292.511766792561
resnet152_32x32_512_reweight_no_ew,302.0435937106773
resnet152_32x32_2048_elegant_no_hooks,767.7109395262606
resnet18_224x224_256_naive_no_hooks,373.9682747105664
resnet18_224x224_256_naive_no_ew,410.49841941134974
resnet18_224x224_512_reweight_no_hooks,243.54434974110444
resnet18_224x224_256_reweight_no_ew,264.79109642128935
resnet18_224x224_378_elegant_no_hooks,468.1901222071768
resnet50_224x224_128_naive_no_hooks,153.10191096879635
resnet50_224x224_128_naive_no_ew,152.83856202009036
resnet50_224x224_256_reweight_no_hooks,95.83203249190726
resnet50_224x224_128_reweight_no_ew,96.33643532288092
resnet50_224x224_192_elegant_no_hooks,160.62863963458102
resnet152_224x224_64_naive_no_hooks,59.58858760225618
resnet152_224x224_32_naive_no_ew,50.80181050089155
resnet152_224x224_128_reweight_no_hooks,41.079659175072386
resnet152_224x224_64_reweight_no_ew,39.145690201503385
resnet152_224x224_64_elegant_no_hooks,67.24974043751202
bert-base_32x32_32_naive_no_hooks,160.92670025617778
bert-base_32x32_32_naive_no_ew,206.3102428574898
bert-base_32x32_128_reweight_no_hooks,151.96051631672813
bert-base_32x32_128_reweight_no_ew,192.08929627177017
bert-base_32x32_1024_elegant_no_hooks,397.68718336116007
bert-large_32x32_16_naive_no_hooks,39.80467560716207
bert-large_32x32_16_naive_no_ew,50.25781173588822
bert-large_32x32_64_reweight_no_hooks,46.58380691764583
bert-large_32x32_64_reweight_no_ew,56.952500399028565
bert-large_32x32_256_elegant_no_hooks,114.83883654319283
deepspeech_32x32_16_naive_no_hooks,45.80909577484998
deepspeech_32x32_32_reweight_no_hooks,114.51920997984148
deepspeech_32x32_512_elegant_no_hooks,219.53695985254365
gnmt_32x32_16_naive_no_hooks,43.19478435551242
gnmt_32x32_64_reweight_no_hooks,81.60504308490282
gnmt_32x32_512_elegant_no_hooks,164.15024135123056
