Config,Throughput (#example/s)
resnet18_32x32_512_naive_no_hooks_True,3275.6526518764676
resnet18_32x32_2048_reweight_no_hooks_True,1012.1176313747968
resnet18_32x32_16384_elegant_no_hooks_True,3097.322686965739
resnet50_32x32_256_naive_no_hooks_True,1209.0546229984152
resnet50_32x32_1024_reweight_no_hooks_True,434.11138133585206
resnet50_32x32_4096_elegant_no_hooks_True,1519.324250013324
resnet152_32x32_128_naive_no_hooks_True,226.82894314145702
resnet152_32x32_1024_reweight_no_hooks_True,271.0434205463041
resnet152_32x32_2048_elegant_no_hooks_True,880.8305025414692
bert-base_32x32_64_naive_no_hooks_True,316.83157397400083
bert-base_32x32_256_reweight_no_hooks_True,306.00794976945633
bert-base_32x32_1024_elegant_no_hooks_True,391.2021933503191
bert-large_32x32_16_naive_no_hooks_True,59.2920152023731
bert-large_32x32_128_reweight_no_hooks_True,94.09496217388771
bert-large_32x32_256_elegant_no_hooks_True,116.62928914333318
gnmt_64x64_16_naive_no_hooks_True,48.979779752207456
gnmt_64x64_128_reweight_no_hooks_True,35.2142641540668
deepspeech_512x512_16_naive_no_hooks_True,17.796496783442894
deepspeech_512x512_64_reweight_no_hooks_True,12.477582700095596
deepspeech_512x512_64_elegant_no_hooks_True,18.407720829666562

gnmt_64x64_128_elegant_no_hooks_True,90.36571170485111
resnet50_32x32_512_reweight_no_hooks_True,1142.9206387120253
resnet50_32x32_256_reweight_no_hooks_True,1098.3584533276703
resnet152_32x32_512_reweight_no_hooks_True,425.7006884489902
resnet152_32x32_256_reweight_no_hooks_True,386.3385420021106
resnet18_32x32_1024_reweight_no_hooks_True,2886.4643422331087
resnet18_32x32_512_reweight_no_hooks_True,2934.0489069713603
gnmt_64x64_128_reweight_no_hooks_True,35.06350693586593
deepspeech_512x512_32_reweight_no_hooks_True,16.663842299129698
deepspeech_512x512_32_elegant_no_hooks_True,23.34529006844337
deepspeech_512x512_32_reweight_no_hooks_True,16.673567684364492
deepspeech_512x512_32_elegant_no_hooks_True,23.345183072504213
deepspeech_512x512_16_elegant_no_hooks_True,17.122763425551135
bert-base_32x32_512_elegant_no_hooks_True,384.63256420623117
resnet18_32x32_4096_elegant_no_hooks_True,3163.044296821085
resnet18_32x32_1024_elegant_no_hooks_True,3019.7240780815896

resnet18_32x32_512_naive_no_hooks_True,3270.853311583326
resnet18_32x32_512_naive_no_hooks_True,3331.9397490716074
resnet18_32x32_2048_reweight_no_hooks_True,1145.768635805329
resnet50_32x32_256_naive_no_hooks_True,1194.7342323366588
resnet18_32x32_16384_elegant_no_hooks_True,2270.6726563757866
gnmt_32x32_8_naive_no_hooks_True,52.08920281446352
gnmt_64x64_8_naive_no_hooks_True,35.4296189870917
