Config,Throughput (#example/s)
resnet18_32x32_512_naive_no,1821.905971815481
resnet18_32x32_1024_reweight_no,1994.4489702089327
resnet18_32x32_16384_elegant_no,4561.4205719015
resnet50_32x32_256_naive_no,621.6303968885719
resnet50_32x32_1024_reweight_no,827.5769770324329
resnet50_32x32_8192_elegant_no,2064.4393184354303
resnet152_32x32_128_naive_no,158.49082814158447
resnet152_32x32_512_reweight_no,255.42037357598488
resnet152_32x32_1536_elegant_no,791.8200970156063
bert-base_32x32_32_naive_no,106.72532911250916
bert-base_32x32_128_reweight_no,140.51032335210712
bert-base_32x32_1024_elegant_no,391.0740698471438
bert-large_32x32_16_naive_no,29.53966561976249
bert-large_32x32_64_reweight_no,41.53808874252859
bert-large_32x32_256_elegant_no,113.22931082532969
deepspeech_32x32_16_naive_no,60.65520754017278
deepspeech_32x32_32_reweight_no,64.94107883560446
deepspeech_32x32_512_elegant_no,217.70590187169185
gnmt_32x32_16_naive_no,46.29885381870145
gnmt_32x32_64_reweight_no,58.122594349075634
gnmt_32x32_512_elegant_no,163.60008806970242
