Config,Throughput (#example/s)
resnet18_32x32_512_naive_no_hooks_False,3267.4592028556062
resnet18_32x32_512_reweight_no_hooks_False,2941.834990225773
resnet18_32x32_1024_reweight_no_hooks_False,2896.278810396513
resnet18_32x32_2048_reweight_no_hooks_False,1012.4573801258866
resnet18_32x32_512_elegant_no_hooks_True,2743.8112345711347
resnet18_32x32_1024_elegant_no_hooks_True,3048.565542102963
resnet18_32x32_2048_elegant_no_hooks_True,3136.5330420388455
resnet18_32x32_4096_elegant_no_hooks_True,3159.12769347453
resnet18_32x32_8192_elegant_no_hooks_True,3176.685183926873
resnet18_32x32_16384_elegant_no_hooks_True,3115.528624736777
resnet50_32x32_256_naive_no_hooks_False,1215.7080801980565
resnet50_32x32_256_reweight_no_hooks_False,1092.7814091303485
resnet50_32x32_512_reweight_no_hooks_False,1154.9653700022259
resnet50_32x32_1024_reweight_no_hooks_False,450.64247427370594
resnet50_32x32_2048_reweight_no_hooks_False,376.8399605400371
resnet50_32x32_256_elegant_no_hooks_True,1106.256129787421
resnet50_32x32_512_elegant_no_hooks_True,1242.2095000104844
resnet50_32x32_1024_elegant_no_hooks_True,1299.9850269036144
resnet50_32x32_2048_elegant_no_hooks_True,1510.0298771090886
resnet50_32x32_4096_elegant_no_hooks_True,1519.7729211964406
resnet152_32x32_128_naive_no_hooks_False,236.6950623546064
resnet152_32x32_128_reweight_no_hooks_False,240.4745484167136
resnet152_32x32_256_reweight_no_hooks_False,385.8670092532961
resnet152_32x32_512_reweight_no_hooks_False,425.3828099071074
resnet152_32x32_1024_reweight_no_hooks_False,276.5809045215581
resnet152_32x32_2048_reweight_no_hooks_False,213.94286749701646
resnet152_32x32_128_elegant_no_hooks_True,349.8155937332116
resnet152_32x32_256_elegant_no_hooks_True,543.1189799007269
resnet152_32x32_512_elegant_no_hooks_True,778.9243228906201
resnet152_32x32_1024_elegant_no_hooks_True,861.8322138559315
resnet152_32x32_2048_elegant_no_hooks_True,882.9451112324014
bert-base_32x32_64_naive_no_hooks_False,318.7623394991568
bert-base_32x32_64_reweight_no_hooks_False,281.40869218904163
bert-base_32x32_128_reweight_no_hooks_False,287.30468691363814
bert-base_32x32_256_reweight_no_hooks_False,306.02351751994775
bert-base_32x32_64_elegant_no_hooks_True,322.2672129518941
bert-base_32x32_128_elegant_no_hooks_True,352.0277210130463
bert-base_32x32_256_elegant_no_hooks_True,372.14038444829174
bert-base_32x32_512_elegant_no_hooks_True,383.33479120665953
bert-base_32x32_1024_elegant_no_hooks_True,389.9421537064985
bert-large_32x32_16_naive_no_hooks_False,54.59265227894218
bert-large_32x32_16_reweight_no_hooks_False,58.96845459393873
bert-large_32x32_32_reweight_no_hooks_False,81.56081183975309
bert-large_32x32_64_reweight_no_hooks_False,89.46156069707546
bert-large_32x32_128_reweight_no_hooks_False,93.73953707113726
bert-large_32x32_16_elegant_no_hooks_True,69.4030440849683
bert-large_32x32_32_elegant_no_hooks_True,96.92603992615962
bert-large_32x32_64_elegant_no_hooks_True,106.87353546060551
bert-large_32x32_128_elegant_no_hooks_True,112.98082416453424
bert-large_32x32_256_elegant_no_hooks_True,114.48368751230842
gnmt_64x64_16_naive_no_hooks_False,55.40569839627469
gnmt_64x64_16_reweight_no_hooks_False,42.56643069838164
gnmt_64x64_32_reweight_no_hooks_False,55.42181850480039
gnmt_64x64_64_reweight_no_hooks_False,70.95903000927315
gnmt_64x64_128_reweight_no_hooks_False,41.27353140622727
gnmt_64x64_16_elegant_no_hooks_True,50.810678373031344
gnmt_64x64_32_elegant_no_hooks_True,68.4026470570323
gnmt_64x64_64_elegant_no_hooks_True,83.61609278191733
gnmt_64x64_128_elegant_no_hooks_True,90.95244319520319
deepspeech_512x512_16_naive_no_hooks_False,17.80364462771965
deepspeech_512x512_16_reweight_no_hooks_False,12.010693689436952
deepspeech_512x512_32_reweight_no_hooks_False,16.66996912848803
deepspeech_512x512_64_reweight_no_hooks_False,12.893457202277233
deepspeech_512x512_16_elegant_no_hooks_True,17.127821871414536
deepspeech_512x512_32_elegant_no_hooks_True,23.338318907146547
deepspeech_512x512_64_elegant_no_hooks_True,18.472819918911934
