,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_naive_no_hooks_False,196.75781991746692,0.9779797659979926,11.096305317348904,21.042373445298935,90.87309572431776,64.52394856346979,6.402293841044108,1.5700128343370225,24236068864
resnet18_32x32_512_reweight_no_hooks_False,224.32120641072592,1.0196367899576824,12.81114419301351,19.849326875474716,86.13430129157172,59.89674727121989,8.9237027698093,2.331693967183431,5184421888
resnet18_32x32_1024_reweight_no_hooks_False,402.0691712697347,1.5557474560207791,15.374316109551323,30.215554767184788,152.2445413801405,130.16445106930203,8.724954393174913,2.245280477735731,10269061120
resnet18_32x32_2048_reweight_no_hooks_False,2078.6687003241645,2.8127034505208335,22.857440842522514,51.435536808437774,1564.685927497016,310.4006184471978,7.063865661621094,1.8058088090684679,20434128896
resnet18_32x32_512_elegant_no_hooks_False,297.86047670576306,0.9816884994506836,12.96657986111111,20.364032851325142,130.82049645317926,128.26548173692493,1.7598674537407026,2.245836787753635,1279517696
resnet18_32x32_1024_elegant_no_hooks_False,549.8953395419651,1.6276439030965169,15.539209047953287,30.597355630662705,243.6853315565321,253.7263733545939,1.9155864980485704,2.2627777523464627,1649515520
resnet18_32x32_2048_elegant_no_hooks_False,1049.4402779473198,2.728528446621365,23.022545708550346,51.042702462938095,465.9968550999959,502.84364901648627,1.4657213447822466,1.7049445046318903,2379732992
resnet18_32x32_4096_elegant_no_hooks_False,2070.8849297629463,5.112369855244954,41.415108574761284,96.67513105604384,919.4182099236382,1004.1675117280748,1.4850682160920567,1.744177606370714,3858918400
resnet18_32x32_8192_elegant_no_hooks_False,4113.724205229018,9.897708892822266,89.75085947248671,177.709076139662,1821.3912632200454,2010.530659145779,1.5795855422814686,1.6377104653252497,7424649728
resnet18_32x32_16384_elegant_no_hooks_False,8202.460103564792,19.466492864820694,174.46752389272055,364.98759852515326,3628.519235716926,4009.5948911243013,1.562465729812781,1.8112129635281033,14741416448
resnet50_32x32_256_naive_no_hooks_False,318.6584181255764,0.6643003887600369,23.976378970676,40.40651851230197,148.9447487725152,83.64284038543701,16.73379209306505,3.639777501424154,26537633792
resnet50_32x32_256_reweight_no_hooks_False,361.9969950781928,0.6791883044772677,24.35665660434299,40.286408530341255,149.38135941823325,80.09240362379286,17.445961634318035,3.7965774536132812,3085421568
resnet50_32x32_512_reweight_no_hooks_False,568.3948463863796,1.0170936584472656,25.366028149922688,60.81944041781955,230.19333680470785,152.1479156282213,18.159363004896377,4.446042908562554,5960593408
resnet50_32x32_1024_reweight_no_hooks_False,2413.1850401560464,1.6118155585394964,42.1125226550632,108.03423987494574,1712.8210332658555,389.9047904544407,17.384913232591416,3.8845804002549915,11707119616
resnet50_32x32_2048_reweight_no_hooks_False,5598.595592710707,2.7560657925075955,65.5908187230428,209.62157514360217,4053.4781085120308,981.0759888754951,16.905612415737576,4.021128018697103,23196469248
resnet50_32x32_256_elegant_no_hooks_False,385.60112317403156,0.6214645173814561,24.079667197333443,40.058414141337074,143.24001587761774,169.49497519599066,3.2027194334401026,4.085818926493327,1558431744
resnet50_32x32_512_elegant_no_hooks_False,658.5346062978109,0.976827409532335,26.16347206963433,59.75372261471219,236.12396791246204,326.53946198357477,3.458920657634735,4.643665419684516,2340418560
resnet50_32x32_1024_elegant_no_hooks_False,1223.987301190694,1.5630986955430772,42.19702879587809,107.80636469523112,424.32978587680395,639.7459066179064,3.220525301165051,3.969987233479818,3948886016
resnet50_32x32_2048_elegant_no_hooks_False,2369.830873277452,2.789576848347982,66.14645322163899,208.69824621412488,814.7898201412625,1268.236946105957,3.2383093817366495,4.469103283352322,7007090688
resnet50_32x32_4096_elegant_no_hooks_False,4648.335999912686,5.145774947272407,122.54851394229465,412.556701236301,1577.5655508041382,2521.2071269353232,3.3593300448523626,3.8456651899549694,13476958720
resnet152_32x32_128_naive_no_hooks_False,748.4288877911038,0.5793306562635634,69.78556844923231,88.9019833670722,352.7615202797784,174.58803123897977,49.00378651089139,10.968632168240017,31557854208
resnet152_32x32_128_reweight_no_hooks_False,808.5236416922676,0.5878474977281358,69.19650236765544,89.16099866231282,357.79562261369495,147.7381255891588,50.04186100429959,11.09774907430013,2168356352
resnet152_32x32_256_reweight_no_hooks_False,1007.9883601930406,0.7098118464152018,67.47876273261176,100.48715273539226,486.75811290740967,176.98434988657633,48.31720723046197,10.665151807996962,3844871168
resnet152_32x32_512_reweight_no_hooks_False,1535.5681710773044,1.0191731982760959,68.47492853800456,144.17603280809192,782.2563118404812,290.0418705410427,50.64302020602756,11.841257413228353,7201161216
resnet152_32x32_1024_reweight_no_hooks_False,4024.813453356425,1.5905830595228407,93.34230422973633,245.6221580505371,2683.6274200015596,609.6522145801121,50.11055204603407,11.253979470994738,13907793920
resnet152_32x32_2048_reweight_no_hooks_False,9903.926809628805,2.826001909044054,161.5853706995646,461.21474107106525,7253.789967960782,1350.7475323147244,49.30574364132352,11.643250783284506,27316275200
resnet152_32x32_128_elegant_no_hooks_False,542.7405569288466,0.53609742058648,68.35125552283392,86.3144530190362,200.74706024593777,164.73018095228406,8.57707835899459,11.465920342339409,1818263552
resnet152_32x32_256_elegant_no_hooks_False,763.2675833172268,0.6900363498263888,69.95768017239041,98.00693723890517,255.20971891615125,316.8886333041721,9.006446450948715,11.318524678548178,2666163712
resnet152_32x32_512_elegant_no_hooks_False,1229.1039360894097,0.9755823347303603,67.1704610188802,144.33615737491183,373.3410577774048,621.1987532509697,8.773429191774792,10.770943429734972,4549910528
resnet152_32x32_1024_elegant_no_hooks_False,2176.4832470152114,1.5636417600843642,93.76821253034804,241.7174047893948,590.6294062932333,1226.115274005466,9.027364455991322,10.672264628940159,8382494208
resnet152_32x32_2048_elegant_no_hooks_False,4216.998020807902,2.7606884638468423,162.06981076134576,454.77040608723956,1118.52281665802,2452.8005754682754,9.918732484181723,12.040297190348307,14556975616
